src_date_occurred,src_military_time,src_lease_number,src_area_block,src_accident_type,src_panel_district,src_status
8/21/1997,21:00,G06643,EC 300,- WELLHEAD SEAL LEAK,DISTRICT,Complete
4/2/1996,6:10,G10638,EC 328,- Pollution ,DISTRICT,Complete
6/29/1995,19:45,G10638,EC 328,- Fire ,DISTRICT,Complete
4/1/1997,1:10,G10638,EC 328,- Blowout - Fire ,PANEL,Complete
7/30/1997,15:15,G10638,EC 328,- Fire ,DISTRICT,Complete
5/12/1998,24:00,G03540,EC 330,- Pollution ,DISTRICT,Complete
2/20/1997,14:01,G09478,EC 332,- Injury ,DISTRICT,Complete
6/1/1995,12:00,G09478,EC 332,- Fire ,DISTRICT,Complete
6/4/1996,3:30,G09478,EC 332,- Fatality ,PANEL,Complete
1/26/1998,14:00,G02062,EC 334,- Pollution ,DISTRICT,Complete
12/24/1997,3:00,G02062,EC 334,- PIPELINE DAMAGE,DISTRICT,Complete
12/24/1997,3:30,G02063,EC 338,- Pollution - PIPELINE DAMAGE,DISTRICT,Complete
1/22/1998,21:15,G02063,EC 338,- Fire ,DISTRICT,Complete
3/4/1998,2:00,G06655,EC 346,- Fire ,DISTRICT,Complete
2/11/1996,9:00,G02865,VR 22,- Pollution ,DISTRICT,Complete
5/14/1996,15:45, 00297,VR 26,- Injury ,DISTRICT,Complete
4/16/1997,14:00, 00297,VR 26,- Fire ,DISTRICT,Complete
6/2/1998,2:00, 00297,VR 26,- Collision ,DISTRICT,Complete
6/14/1998,18:15, 00297,VR 26,- Explosion - Fire ,DISTRICT,Complete
3/15/1996,19:00,G02868,VR 31,- Fire ,DISTRICT,Complete
3/15/1995,7:30, 00205,VR 38,- Fire - Pollution ,DISTRICT,Complete
4/26/1998,6:45, 00204,VR 38,- Explosion - Fire ,DISTRICT,Complete
7/7/1996,17:00, 00206,VR 39,- Collision ,DISTRICT,Complete
9/5/1995,14:00,G03393,VR 102,- Fire ,DISTRICT,Complete
4/11/1997,:15, 00775,VR 131,- Explosion - Fire ,DISTRICT,Complete
9/30/1997,17:00,G03394,VR 146,- Fire ,DISTRICT,Complete
5/30/1997,6:00,G03394,VR 146,- Fire ,DISTRICT,Complete
3/25/1996,14:00,G15183,VR 189,- Pollution ,DISTRICT,Complete
3/8/1995,23:30,G09500,VR 200,- Pollution ,DISTRICT,Complete
7/4/1995,6:15,G09500,VR 200,- Pollution ,DISTRICT,Complete
7/9/1995,2:30,G09500,VR 200,- Pollution ,DISTRICT,Complete
9/12/1995,19:00,G09500,VR 200,- Fire ,DISTRICT,Complete
7/19/1995,10:30,G02076,VR 214,- Fire ,DISTRICT,Complete
2/6/1998,8:10,G02076,VR 214,- Fatality ,DISTRICT,Complete
11/10/1996,15:45,G13885,VR 216,- Blowout ,DISTRICT,Complete
2/19/1997,5:01,G04424,VR 221,- Fire ,DISTRICT,Complete
1/27/1996,7:30,G01146,VR 245,- Fire ,DISTRICT,Complete
11/22/1995,15:00,G01146,VR 245,- Fire ,DISTRICT,Complete
12/20/1995,3:00,G01146,VR 245,- Fire ,DISTRICT,Complete
1/31/1997,6:40,G01147,VR 246,- Fire ,DISTRICT,Complete
5/4/1996,10:20,G02873,VR 251,- Fire ,DISTRICT,Complete
11/25/1995,9:30,G01177,SM 6,- Injury - Fatality ,DISTRICT,Complete
9/9/1997,10:45,G01181,SM 10,- Fire ,DISTRICT,Complete
6/24/1996,11:45, 00778,SM 23,- Fire ,DISTRICT,Complete
2/20/1998,2:00, 00780,SM 33,- Fire ,DISTRICT,Complete
4/24/1998,12:40, 00780,SM 33,- Pollution ,DISTRICT,Complete
6/2/1998,21:30, 00780,SM 33,- Injury - Fatality ,DISTRICT,Complete
2/7/1999,9:00,G13607,SM 40,- Fire - Injury ,DISTRICT,Complete
9/21/1997,8:15, 00786,SM 48,- Fire ,DISTRICT,Complete
6/26/1995,14:15, 00787,SM 49,- Fire ,DISTRICT,Complete
5/29/1995,10:11,G13608,SM 50,- Fire ,DISTRICT,Complete
9/16/1996,19:30,G01193,SM 57,- Fire ,DISTRICT,Complete
12/2/1999,14:25,G01194,SM 58,- Blowout - Injury ,DISTRICT,Complete
1/28/1997,21:00,G01196,SM 61,- Fire ,DISTRICT,Complete
7/4/1995,1:00,G01196,SM 61,- Fire ,DISTRICT,Complete
3/13/1997,9:30,G01198,SM 66,- Fire ,DISTRICT,Complete
11/27/1997,6:30,G01152,VR 255,- Pollution ,DISTRICT,Complete
1/12/1995,3:30,G01153,VR 256,- Pollution ,DISTRICT,Complete
2/15/1996,5:30,G03135,VR 267,- Explosion - Injury ,DISTRICT,Complete
7/16/1999,7:55,G03135,VR 267,- Injury ,DISTRICT,Complete
4/2/1997,6:05,G11881,VR 279,- Injury ,DISTRICT,Complete
3/22/1999,16:00,G11881,VR 279,- Injury ,DISTRICT,Complete
5/21/1998,18:15,G02087,VR 320,- Injury ,DISTRICT,Complete
1/18/1997,9:20,G02271,VR 348,- Fatality ,DISTRICT,Complete
6/26/1995,10:30,G02275,VR 370,- Pollution ,DISTRICT,Complete
11/12/1995,19:40,G02278,VR 386,- Fire ,DISTRICT,Complete
6/10/1997,7:45,G09529,VR 398,- Fire ,DISTRICT,Complete
3/8/1997,9:25,G09529,VR 398,- Piping parted,DISTRICT,Complete
7/25/1997,6:45,G09529,VR 398,- Fire ,DISTRICT,Complete
7/4/1997,1:00,G04109,SM 99,- Fire - Injury ,DISTRICT,Complete
12/18/1996,14:30,G02280,SM 130,- Fire ,DISTRICT,Complete
7/23/1995,16:30,G02280,SM 130,- Pollution ,DISTRICT,Complete
11/5/1995,11:30,G02885,SM 141,- Fire - Injury ,DISTRICT,Complete
2/16/1997,13:30,G13614,SM 204,- Fire ,DISTRICT,Complete
9/15/1997,:10, 00310,SM 217,- Fire ,DISTRICT,Complete
9/1/1995,5:10, 00310,SM 229,- Collision ,DISTRICT,Complete
9/20/1996,1:30, 00310,SM 236,- Collision - Explosion - Fire ,DISTRICT,Complete
10/18/1995,23:30, 00310,SM 239,- Pollution ,DISTRICT,Complete
2/1/1995,18:25,G14450,SM 245,- Pollution ,DISTRICT,Complete
9/10/1997,18:20,G02310,SM 268,- Fire ,DISTRICT,Complete
4/6/1996,9:05,G02600,SM 281,- Fire - Injury ,DISTRICT,Complete
6/10/1995,9:30,G02316,SM 288,- Fire ,DISTRICT,Complete
10/10/1995,15:00,G05479,EI 28,- Injury ,DISTRICT,Complete
5/6/1997,11:00, 00078,EI 51,- Pollution ,DISTRICT,Complete
12/9/1998,19:30,G12906,EI 71,- Blowout ,DISTRICT,Complete
7/17/1996,18:15,G10721,EI 88,- Fire ,DISTRICT,Complete
7/3/1997,7:15, 00796,EI 100,- Collision ,DISTRICT,Complete
12/23/1998,16:15,G03811,EI 108,- Fire - Injury - Fatality ,PANEL,Complete
7/18/1997,17:30, 00049,EI 119,- Fire - Pollution ,DISTRICT,Complete
6/26/1998,1:08,G10726,EI 142,- Fire ,DISTRICT,Complete
7/31/1996,20:00, 00423,EI 189,- Fire ,DISTRICT,Complete
7/19/1996,21:30,G13821,EI 196,- Crane failure,DISTRICT,Complete
1/5/1996,8:40, 00437,EI 199,- Explosion - Fire - Injury ,DISTRICT,Complete
4/14/1995,20:00, 00806,EI 206,- Fire ,DISTRICT,Complete
12/3/1996,17:30,G05504,EI 224,- Blowout ,DISTRICT,Complete
3/20/1995,16:00,G05504,EI 224,- Fire ,DISTRICT,Complete
12/17/1997,12:00,G03331,EI 251,- Fire ,DISTRICT,Complete
4/7/1997,18:30,G02103,EI 257,- Fatality ,DISTRICT,Complete
4/19/1998,17:45,G00987,EI 273,- Injury ,DISTRICT,Complete
7/26/1997,13:40,G00989,EI 276,- Casing Burst,DISTRICT,Complete
4/22/1997,20:00,G02105,EI 296,- Crane Boom Collapse,DISTRICT,Complete
3/4/1997,6:30,G02109,EI 306,- Pollution ,DISTRICT,Complete
5/30/1998,15:30,G02608,EI 313,- Fire ,DISTRICT,Complete
5/22/1997,16:30,G02111,EI 314,- Fire ,DISTRICT,Complete
12/9/1996,17:10,G02116,EI 331,- Fatality ,DISTRICT,Complete
6/8/1997,10:00,G02116,EI 331,- Fire ,DISTRICT,Complete
1/9/1998,12:05,G02319,EI 342,- Fire ,DISTRICT,Complete
8/7/1997,16:40,G02322,EI 349,- Fire ,DISTRICT,Complete
5/20/1996,7:15,G02323,EI 360,- Fire ,DISTRICT,Complete
3/28/1998,6:00,G03157,EI 365,- Fire - Construction,DISTRICT,Complete
8/2/1997,15:05, 00060,SS 72,- Explosion - Pollution ,DISTRICT,Complete
8/29/1995,6:00,G02919,SS 91,- Pollution ,DISTRICT,Complete
12/11/1996,6:30, 00064,SS 114,- Pollution ,DISTRICT,Complete
10/16/1997,10:00, 00068,SS 118,- Explosion ,DISTRICT,Complete
12/7/1996,2:30,G04228,SS 133,- Fire - Injury - Fatality ,DISTRICT,Complete
12/10/1997,16:00,G01014,SS 145,- Fatality ,DISTRICT,Complete
9/29/1997,:45, 00434,SS 149,- Fire ,DISTRICT,Complete
9/9/1999,5:00, 00420,SS 154,- Pollution ,DISTRICT,Complete
11/23/1997,10:00, 00820,SS 169,- Fire ,DISTRICT,Complete
12/5/1998,17:30,G05551,SS 178,- Drilled into a producing well.,DISTRICT,Complete
7/18/1998,16:45,G04231,SS 181,- Fire ,DISTRICT,Complete
4/21/1997,10:58,G03998,SS 182,- Explosion - Injury ,DISTRICT,Complete
10/25/1997,3:30,G03998,SS 182,- Fire ,DISTRICT,Complete
11/15/1998,7:40,G01019,SS 182,- Fire ,DISTRICT,Complete
12/15/1999,16:30,G03998,SS 182,- Fire ,DISTRICT,Complete
5/5/1995,16:05,G12355,SS 198,- Fire ,DISTRICT,Complete
10/17/1997,8:00,G12355,SS 198,- Fire ,DISTRICT,Complete
8/4/1998,9:00,G12355,SS 198,- Pollution ,DISTRICT,Complete
8/20/1996,10:30,G01520,SS 204,- Fire ,DISTRICT,Complete
7/9/1996,16:30,G01520,SS 204,- Explosion - Fire ,DISTRICT,Complete
9/8/1995,10:45,G01523,SS 207,- Fire - Injury ,DISTRICT,Complete
3/5/1997,11:45,G01523,SS 207,- Pollution ,DISTRICT,Complete
4/22/1997,7:15,G01523,SS 207,- Pollution ,DISTRICT,Complete
8/12/1998,5:00,G01523,SS 207,- Pollution ,DISTRICT,Complete
2/9/1998,15:00, 00827,SS 209,- Fire ,DISTRICT,Complete
3/20/1998,12:00,G01524,SS 216,- Fire - Injury ,DISTRICT,Complete
7/29/1996,14:05,G01526,SS 223,- Injury - Crane accident,DISTRICT,Complete
4/3/1997,13:30,G01023,SS 224,- Injury - crane accident,DISTRICT,Complete
7/16/1998,5:20,G01023,SS 224,- Fire ,DISTRICT,Complete
1/24/1999,8:45,G01025,SS 239,- Collision ,DISTRICT,Complete
1/31/1998,9:00,G01031,SS 253,- Fire ,DISTRICT,Complete
7/30/1997,17:15,G07757,SS 268,- Crane Failure,DISTRICT,Complete
3/23/1995,9:00,G09627,SS 277,- Pollution ,DISTRICT,Complete
8/14/1995,6:00,G09627,SS 277,- Pollution ,DISTRICT,Complete
10/12/1997,1:20,G09627,SS 277,- Fire ,DISTRICT,Complete
1/12/2000,11:30,G15307,SS 320,"- Blowout - Pollution - 20"" x 13-5/8"" annular pressure",DISTRICT,Complete
10/22/1998,12:00,G04826,SS 332,- Fire ,DISTRICT,Complete
5/18/1998,16:15,G15312,SS 354,- Fire ,DISTRICT,Complete
9/9/1999,15:45,G15312,SS 354,- Blowout - Fire - Pollution ,PANEL,Complete
4/26/1998,22:50,G14539,ST 220,- Pollution ,DISTRICT,Complete
1/10/1997,9:30,G14550,ST 299,- Blowout ,DISTRICT,Complete
8/30/1997,15:30, 00072,PL 12,- Explosion - Fire ,DISTRICT,Complete
9/29/1997,9:45,G03171,PL 13,- Fire ,DISTRICT,Complete
7/20/1998,7:30,G03171,PL 13,- Fire ,DISTRICT,Complete
7/29/1996,15:30,G01238,PL 23,- Fire - Injury ,DISTRICT,Complete
12/20/1997,6:10,G01238,PL 23,- Pollution ,DISTRICT,Complete
3/11/1998,17:30,G01238,PL 23,- Fire - Injury ,DISTRICT,Complete
9/24/1996,:, 00033,GI 19,- Fatality ,PANEL,Complete
6/25/1997,12:45, 00031,GI 22,- Fire ,DISTRICT,Complete
10/3/1996,13:30, 00392,GI 37,- Fire ,DISTRICT,Complete
10/3/1996,7:00, 00392,GI 37,- Fire - Pollution ,DISTRICT,Complete
1/30/1998,10:30, 00392,GI 37,- Fire ,DISTRICT,Complete
1/8/2000,9:00, 00392,GI 37,- Pollution ,DISTRICT,Complete
5/15/1995,7:10, 00129,GI 41,- Pollution ,DISTRICT,Complete
10/9/1996,7:00, 00175,GI 43,- Pollution ,DISTRICT,Complete
2/6/1997,12:58, 00175,GI 43,- Fire ,DISTRICT,Complete
5/2/1998,6:30, 00175,GI 43,- Pollution ,DISTRICT,Complete
11/19/1998,13:09, 00175,GI 43,- Fire ,DISTRICT,Complete
1/20/1997,3:00, 00133,GI 47,- Fatality ,DISTRICT,Complete
8/11/1997,19:41, 00133,GI 47,- Fire ,DISTRICT,Complete
7/30/1997,13:45, 00133,GI 47,- Fire ,DISTRICT,Complete
5/24/1996,7:20, 00134,GI 48,- Pollution ,DISTRICT,Complete
3/11/1997,22:00,G01331,WD 23,- Fatality ,DISTRICT,Complete
10/18/1999,1:10, 00384,WD 28,- Collision ,DISTRICT,Complete
8/21/1997,3:15, 00016,WD 31,- Pollution ,DISTRICT,Complete
3/31/1998,11:30, 00016,WD 31,- Injury ,DISTRICT,Complete
6/24/1996,7:30, 00367,WD 32,- Pollution ,DISTRICT,Complete
9/22/1998,6:30, 00367,WD 32,- Pollution ,DISTRICT,Complete
6/11/1999,6:00,G01073,WD 41,- Pollution ,DISTRICT,Complete
4/7/1997,19:20, 00182,WD 70,- Fire ,DISTRICT,Complete
8/6/1997,16:00, 00182,WD 70,- Fire - Injury ,DISTRICT,Complete
12/2/1999,6:30, 00182,WD 70,- Pollution ,DISTRICT,Complete
6/20/1998,14:15, 00838,WD 71,- Fire ,DISTRICT,Complete
3/18/1999,4:45,G01874,WD 79,- Explosion - Fire ,DISTRICT,Complete
12/2/1999,9:30, 00839,WD 94,- Pollution - pipeline leak,DISTRICT,Complete
9/8/1996,7:00,G01498,WD 96,- Fire - Injury ,DISTRICT,Complete
6/22/1997,22:30,G08735,WD 106,- Pollution ,DISTRICT,Complete
2/16/1998,13:30,G08735,WD 106,- Collision - Fire ,DISTRICT,Complete
8/6/1997,17:30,G02937,WD 109,- Fire ,DISTRICT,Complete
11/11/1997,23:10,G02937,WD 109,- Explosion - Fire ,DISTRICT,Complete
3/12/1998,2:25,G01101,WD 117,- Injury - Pollution - Derrick fell,DISTRICT,Complete
6/9/1997,12:45,G01604,WD 152,- Fire ,DISTRICT,Complete
10/1/1998,10:00,G02177,SP 38,- Pollution ,PANEL,Complete
12/24/1996,15:45,G02940,SP 57,- Fire ,DISTRICT,Complete
8/21/1998,23:36,G01612,SP 67,- Pollution ,DISTRICT,Complete
8/12/1995,14:00,G01614,SP 70,- Fatality ,DISTRICT,Complete
10/12/1995,13:40,G02184,SP 77,- Pollution ,DISTRICT,Complete
12/11/1997,10:00,G02184,SP 77,- Fire ,DISTRICT,Complete
9/17/1997,:55,G09200,GB 70,- Fatality ,DISTRICT,Complete
7/31/1998,18:32,G11455,GB 128,- Fire ,DISTRICT,Complete
1/21/1996,13:00,G10342,GB 240,- Injury - piping rupture,DISTRICT,Complete
10/14/1996,21:00,G07485,GB 387,- Collision - Pollution ,DISTRICT,Complete
5/3/1996,16:45,G07486,GB 388,- Pollution ,DISTRICT,Complete
1/2/1996,7:00,G07486,GB 388,- Fire - Pollution ,DISTRICT,Complete
9/29/1996,12:35,G07486,GB 388,- Collision - Pollution ,DISTRICT,Complete
2/22/1997,11:40,G07486,GB 388,- Pollution ,DISTRICT,Complete
12/10/1996,12:30,G04940,GC 18,- Fire - Injury ,DISTRICT,Complete
4/29/1998,7:30,G04940,GC 18,- Pollution ,DISTRICT,Complete
5/16/1998,11:20,G04940,GC 18,- Pollution ,DISTRICT,Complete
10/10/1998,15:45,G04940,GC 18,- Fire ,DISTRICT,Complete
3/20/1999,10:08,G04940,GC 18,- Explosion - Injury ,DISTRICT,Complete
3/11/1996,23:50,G04131,GC 19,- Fire - Pollution ,DISTRICT,Complete
5/29/1997,13:15,G05889,GC 65,- Fire ,DISTRICT,Complete
5/22/1997,19:00,G05889,GC 65,- Fire ,DISTRICT,Complete
10/13/1997,5:00,G05889,GC 65,- Fire ,DISTRICT,Complete
6/27/1998,6:40,G05889,GC 65,- Fire ,DISTRICT,Complete
7/20/1998,14:05,G05889,GC 65,- Fire ,DISTRICT,Complete
3/17/1999,12:20,G05889,GC 65,- Fire ,DISTRICT,Complete
12/16/1998,12:15,G15540,GC 89,- Fire ,DISTRICT,Complete
12/26/1998,3:00,G15540,GC 89,- Fire ,DISTRICT,Complete
7/6/1998,19:00,G12209,GC 200,- Pollution - hydaulic fluid leak,DISTRICT,Complete
10/23/1998,14:43,G05911,GC 205,- Fire ,DISTRICT,Complete
2/8/1999,8:00,G07049,GC 254,- Explosion - 210 barrel atmospheric tank,DISTRICT,Complete
8/28/1999,12:00,G11075,GC 562,- Pollution ,DISTRICT,Complete
9/13/1998,17:00,G10005,AT 118,- Injury ,DISTRICT,Complete
4/28/1999,11:30,G07917,EW 306,- Fire ,DISTRICT,Complete
3/9/1996,23:30,G09762,EW 482,- Pollution ,DISTRICT,Complete
12/31/1998,17:00,G13079,EW 910,- Platform rig movement,DISTRICT,Complete
4/24/1998,21:30,G05803,EW 947,- Fire ,DISTRICT,Complete
9/9/1996,1:30,G12145,EW 965,- Pollution ,DISTRICT,Complete
11/23/1998,22:30,G12145,EW 965,- Pollution - crane operations,DISTRICT,Complete
1/11/2000,22:15,G12145,EW 965,- Injury ,DISTRICT,Complete
9/14/1998,11:30,G06884,VK 780,- Pollution ,DISTRICT,Complete
11/14/1997,17:00,G09743,VK 817,- Fire ,DISTRICT,Complete
11/15/1999,18:30,G10942,VK 823,- crane failure,DISTRICT,Complete
7/13/1998,21:10,G06896,VK 956,- Pollution - Chemical spill,DISTRICT,Complete
8/20/1998,10:00,G18880,MU A51,- Fatality ,DISTRICT,Complete
11/5/1997,5:00,G06037,MI 604,- Structural failure,DISTRICT,Complete
2/18/1997,:20,G02665,BA A133,- Fire ,DISTRICT,Complete
10/19/1997,3:15,G06093,GA 209,- Fire ,DISTRICT,Complete
9/21/1996,1:00,G08151,HI 207,- Explosion - Fire - Injury ,DISTRICT,Complete
1/22/1998,7:00,G02366,HI A474,- Pollution ,DISTRICT,Complete
10/19/1997,3:30,G02392,HI A572,- Fire ,DISTRICT,Complete
4/30/1996,12:00,G02724,HI A270,- Fire - Fatality ,DISTRICT,Complete
10/5/1997,7:30,G02746,HI A356,- Explosion ,DISTRICT,Complete
1/3/1997,7:00,G10311,HI A385,- Fatality ,DISTRICT,Complete
9/9/1999,8:30,G01666,MP 289,- Pollution ,DISTRICT,Complete
4/21/1995,6:45,G02241,WC 643,- Collision - Pollution ,DISTRICT,Complete
6/12/1996,9:00,G13865,EC 149,- Fire - Injury ,DISTRICT,Complete
1/12/1997,5:45, 00560,VR 67,- Collision ,DISTRICT,Complete
5/29/1996,23:45,G02075,VR 201,- Fire ,DISTRICT,Complete
2/21/1995,11:45,G04213,VR 289,- Fire ,DISTRICT,Complete
12/9/1995,17:10,G05475,SM 205,- Fatality ,DISTRICT,Complete
5/6/1998,6:35, 00054,EI 129,- Pollution ,DISTRICT,Complete
2/22/1998,2:20, 00438,EI 175,- Pollution ,DISTRICT,Complete
3/9/1998,18:00, 00438,EI 175,- Fire ,DISTRICT,Complete
5/24/1998,8:30, 00577,EI 208,- Injury ,DISTRICT,Complete
11/14/1999,6:50,G00985,EI 259,- Fire ,DISTRICT,Complete
1/24/1996,17:30,G02327,EI 380,- Blowout - Fire ,PANEL,Complete
12/16/1997,16:00,G12940,SS 126,- Pollution ,DISTRICT,Complete
7/21/1999,7:00, 00829,SS 219,- Pollution ,DISTRICT,Complete
7/28/1996,6:30,G07759,SS 299,- Pollution ,DISTRICT,Complete
9/21/1999,1:00,G07759,SS 299,- Fire ,DISTRICT,Complete
8/17/1996,8:30, 00128,GI 40,- Pollution ,DISTRICT,Complete
7/17/1997,18:30, 00128,GI 40,- Fire ,DISTRICT,Complete
5/23/1996,6:30, 00138,WD 45,- Pollution ,DISTRICT,Complete
1/4/1997,20:35, 00138,WD 45,- Fire ,DISTRICT,Complete
7/18/1997,4:30, 00840,WD 103,- Fire ,DISTRICT,Complete
4/9/1997,7:30,G01608,SP 60,- Fire ,DISTRICT,Complete
10/19/1998,19:00,G05954,PN 976,- Fatality ,DISTRICT,Complete
11/27/1995,4:30,G10152,MU 806,- Fatality ,DISTRICT,Complete
10/14/1997,1:30,G02754,HI A376,- Fire ,DISTRICT,Complete
9/2/1998,15:50,G02754,HI A376,- Fatality - Elect. during start-up oper.,DISTRICT,Complete
7/10/1996,6:55,G01633,MP 133,- Pollution ,DISTRICT,Complete
11/9/1997,9:30,G01633,MP 133,- Pollution ,DISTRICT,Complete
11/9/1995,3:50,G02951,MP 151,- Fire ,DISTRICT,Complete
9/17/1998,21:30,G02951,MP 151,- Collision - Pollution ,DISTRICT,Complete
8/26/1997,11:15,G12845,EC 276,- Fire ,DISTRICT,Complete
1/9/1998,14:40,G12845,EC 276,- Fire ,DISTRICT,Complete
1/21/1997,13:30,G02439,EC 335,- Fire ,DISTRICT,Complete
7/29/1996,13:58,G05505,EI 229,- Fire ,DISTRICT,Complete
10/20/1997,21:30,G05505,EI 229,- Pollution ,DISTRICT,Complete
5/18/1999,21:30,G04453,EI 240,- Fire ,DISTRICT,Complete
11/26/1996,15:31,G00983,EI 252,- Fire ,DISTRICT,Complete
1/16/1998,20:00,G00983,EI 252,- Blowout ,DISTRICT,Complete
6/7/1998,6:15,G00983,EI 252,- Fire ,DISTRICT,Complete
5/19/1998,10:30,G00983,EI 252,- Fire ,DISTRICT,Complete
7/9/1998,16:00,G00983,EI 252,- Fatality ,DISTRICT,Complete
5/24/1997,17:30,G02118,EI 338,- Fatality ,DISTRICT,Complete
11/19/1996,18:40,G13084,EW 963,- Fire ,DISTRICT,Complete
5/21/1998,7:15,G04518,GC 184,- Fire ,DISTRICT,Complete
12/24/1998,19:00,G06032,MI 519,- Pollution - 24 Barrels of 10ppg oilbase mu,DISTRICT,Complete
11/13/1997,6:00, 00373,MP 40,- Pollution ,DISTRICT,Complete
3/31/1997,:30,G02947,MP 73,- Fire ,DISTRICT,Complete
4/23/1996,20:30,G02888,SM 174,- Fire ,DISTRICT,Complete
11/22/1998,10:30,G02596,SM 244,- Blowout ,DISTRICT,Complete
1/2/2000,12:20,G16337,SM 261,- Blowout - Fire ,DISTRICT,Complete
5/25/1995,7:30,G05041,SS 37,- Pollution ,DISTRICT,Complete
12/15/1996,20:45,G05646,ST 295,- Fire ,DISTRICT,Complete
3/4/1997,4:00,G05646,ST 295,- Blowout - DIVERTER,DISTRICT,Complete
1/5/2000,20:30,G05646,ST 295,- Blowout - Annular Casing Flow Well A-31,DISTRICT,Complete
2/8/1998,24:00,G04261,VR 330,- Fire ,DISTRICT,Complete
5/24/1996,19:30,G02572,VR 331,- Fire ,DISTRICT,Complete
2/28/1997,20:30,G02572,VR 331,- Fire ,DISTRICT,Complete
4/18/1995,20:40,G02572,VR 331,- Fire ,DISTRICT,Complete
6/28/1995,2:00,G03969,WC 478,- Collision - Pollution ,DISTRICT,Complete
11/27/1996,21:05, 00146,WD 58,- Blowout - Explosion - Fire - Injury ,DISTRICT,Complete
4/24/1997,13:45, 00146,WD 58,- Pollution ,DISTRICT,Complete
12/17/1996,6:55, 00386,ST 23,- Pollution ,DISTRICT,Complete
10/4/1998,10:30, 00386,ST 23,- Pollution ,DISTRICT,Complete
6/1/1996,6:25, 00595,ST 24,- Pollution ,DISTRICT,Complete
2/2/1997,14:00, 00595,ST 24,- DAMAGED PIPELINE,DISTRICT,Complete
11/6/1998,5:20, 00387,ST 24,- Pollution ,DISTRICT,Complete
9/3/1998,6:50,G01241,ST 52,- Pollution ,DISTRICT,Complete
6/26/1996,16:05, 00019,ST 54,- Fire ,DISTRICT,Complete
9/3/1999,18:34,G14528,ST 145,- Fire ,DISTRICT,Complete
2/15/1997,22:20,G01960,ST 148,- Injury ,DISTRICT,Complete
1/25/1999,9:15,G01898,ST 148,- Collision ,DISTRICT,Complete
5/21/1997,:30,G01255,ST 171,- Fatality ,DISTRICT,Complete
8/1/1996,6:30,G01260,ST 177,- Pollution ,DISTRICT,Complete
6/17/1996,19:10,G01572,ST 189,- Pollution ,DISTRICT,Complete
3/28/1999,11:35,G04464,ST 200,- Explosion ,DISTRICT,Complete
7/24/1996,4:45, 00370,BM 3,- Pollution ,DISTRICT,Complete
4/14/1997,:40,G04000,ST 53,- Fire ,DISTRICT,Complete
6/19/1997,14:30,G08443,ST 75,- Pollution ,DISTRICT,Complete
6/5/1999,16:00,G10828,ST 112,- Collision ,DISTRICT,Complete
11/11/1997,15:15,G01250,ST 164,- Injury ,DISTRICT,Complete
11/1/1998,7:45, 00463,ST 151,- Fire ,DISTRICT,Complete
4/9/2000,9:00,G03206,MC 63,- Crane Incident,DISTRICT,Complete
8/16/2000,21:00,G05825,MC 109,- Fatality ,PANEL,Complete
1/17/1998,15:30,G02640,MC 148,- Fire ,DISTRICT,Complete
4/30/1998,21:50,G02640,MC 148,- Blowout ,DISTRICT,Complete
9/20/1999,3:15,G02640,MC 148,- Collision - pipeline,DISTRICT,Complete
9/8/2000,5:30,G08801,MC 167,- Fatality ,PANEL,Complete
2/27/1999,3:15,G02638,MC 194,- Pollution ,DISTRICT,Complete
10/28/1999,5:45,G03818,MC 280,- Fire ,DISTRICT,Complete
2/20/2000,3:30,G21167,MC 379,- Pollution ,DISTRICT,Complete
2/28/2000,14:45,G16614,MC 538,- Blowout - Pollution - Accidental riser disconnect,PANEL,Complete
12/2/1999,11:15,G21175,MC 553,- Fire ,DISTRICT,Complete
10/6/1998,21:40,G18259,MC 580,- Injury ,DISTRICT,Complete
3/9/2001,23:30,G05863,MC 687,- FATALITY-USCG jurisdiction,DISTRICT,Complete
2/10/1999,6:00,G14016,MC 711,- Blowout - salt water flow (broach),DISTRICT,Complete
2/20/1998,1:30,G08852,MC 764,- Fire ,DISTRICT,Complete
6/18/1998,10:00,G08852,MC 764,- Injury ,DISTRICT,Complete
1/19/2000,21:09,G14658,MC 822,- Pollution - accid. marine riser disconnect,DISTRICT,Complete
1/19/2000,23:40,G14658,MC 822,- Incident >$25K - Near Miss,DISTRICT,Complete
3/16/2000,6:00,G14658,MC 822,- Injury ,DISTRICT,Complete
5/4/2000,1:30,G14658,MC 822,- Injury ,DISTRICT,Complete
7/13/1999,19:50,G07969,MC 890,- Injury ,DISTRICT,Complete
10/22/1999,8:50,G16670,MC 1002,- dropped riser/BOP,PANEL,Complete
5/8/1999,3:10,G01187,SM 27,- Fire ,DISTRICT,Complete
6/16/1995,5:00,G08640,EC 82,- Fatality ,DISTRICT,Complete
5/17/1995,10:45,G02061,EC 321,- Fire ,DISTRICT,Complete
6/9/1995,7:00,G02061,EC 321,- Fire ,DISTRICT,Complete
3/24/1997,12:01,G02061,EC 321,- Fire ,DISTRICT,Complete
4/22/1998,17:00,G15161,EC 381,- Fatality ,DISTRICT,Complete
1/6/1998,18:00,G12886,SM 17,- Blowout ,DISTRICT,Complete
5/10/1996,7:15,G02318,EI 339,- Fire ,DISTRICT,Complete
7/8/1998,2:30,G02318,EI 339,- Fire ,DISTRICT,Complete
12/13/1995,5:00,G01034,SS 266,- Fire ,DISTRICT,Complete
