Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
MC-20030521-0400,1,The failure originated in one of six inserts (nut) in the female connector of joint,,,,
MC-20030521-0400,2,"The failure of the first insert transferred additional loads to the adjacent inserts and bolts, which subsequently failed. The high tensile loads from normal operation produced high stresses which were magnified by the design of the insert. Cracks were either initiated in the inside shoulder area from the high stresses or were created in the manufacturing process. These cracks provided a means for the initiation and propagation of hydrogen embrittlement, leading to environmentally assisted cracking (EAC) and ultimate failure. After the first insert failed, the load it was holding was transferred to the adjacent bolts and inserts, increasing their tensile loads and stresses. These additional loading stresses made the adjacent inserts more susceptible to EAC. Consequently, four of the five remaining inserts failed in a similar manner and the last bolt failed under tension.",,,,
MC-20030521-0400,3,Three conditions must exist for EAC to propagate: 1) the material must be stressed;,,,,
MC-20030521-0400,4,it must be susceptible to EAC; 3) it must be in an environment that has some means of transferring hydrogen atoms to the material. The potential for EAC increases as the potentials of these circumstances increase.,,,,
MC-20030521-0400,5,STRESS,,,,
MC-20030521-0400,6,The inserts were designed with an inherent stress riser (stress concentration area) in the inside corner. This design increases the surface tensile loads in that area.,,,,
MC-20030521-0400,7,It was determined that cracks initiated in the inside shoulder of the inserts. They were either formed in the manufacturing process or they were caused by extreme tensile stresses due to the stress riser.,,,,
MC-20030521-0400,8,MATERIALS,,,,
MC-20030521-0400,9,The insert material was hardened steel. Hardened steel lends itself to hydrogen embrittlement and EAC.,,,,
MC-20030521-0400,10,HYDROGEN SOURCE,,,,
MC-20030521-0400,11,Seawater can be considered a corrosive environment and could possibly have been the source of hydrogen.,,,,
MC-20030521-0400,12,"Thermally sprayed aluminum (TSA) was used to coat the body of marine riser joints for corrosion protection. The contractor has performed tests that show when TSA is in the presence of hydraulic control fluid, it becomes cathodic to steel, creating an electro-chemical reaction. This would provide a transfer of electrons to the insert and cause hydrogen embrittlement. Evidence suggests that a reaction such as this may have taken place on the first insert that failed. The average safety factor in the design of the insert at the inside shoulder area was around 2.0. This is acceptable provided the service environment is considered, there are no flaws in the manufacturing process and it sustains no damage throughout its life. A better design would have a much higher safety factor to overcome the effects of the environment and to negate flaws that are not discovered.",,,,
MC-20030521-0400,13,LIST THE ADDITIONAL INFORMATION:,,,,
MC-20030521-0400,14,(Cont.) INVESTIGATION FINDINGS:,,,,
MC-20030521-0400,15,EAC was confirmed as a failure mechanism.,,,,
MC-20030521-0400,16,"Stress analysis showed stresses alone were not sufficient to explain failure. a. Tension in flange at time of incident - 1.7 MM lb b. Rating of flange - 2.5 MM lb c. Flanges above failed location subject to higher tension. d. All five failed inserts exhibited low-energy fracture surfaces versus 100% ductile, which would be associated with an overload failure.",,,,
MC-20030521-0400,17,"No evidence was found to support fatigue as the primary mode of failure, based on metallurgical findings and analysis of recorded current data.",,,,
MC-20030521-0400,18,Investigation supports unzipping hypothesis of cracking initiated in insert 39-6 and progressing to adjacent inserts until final failure of the riser connection.,,,,
MC-20030521-0400,19,Metallurgical analysis points to hydrogen charging as most probable root cause with work ongoing to determine source of hydrogen.,,,,
MC-20030521-0400,20,Deadman sequence began approximately 24 seconds after the riser parted with the casing shear ram closed approximately 29 seconds after the start of the sequence and the wellbore secured via the lower blind shear ram approximately 30 seconds later. It is believed that the drill pipe had parted when the riser collapsed just above the LMRP and fallen into the wellbore before the casing shear ram closed.,,,,
MC-20030521-0400,21,(Cont.) RECOMMENDATIONS TO PREVENT RECURRENCE NARRATIVE:,,,,
MC-20030521-0400,22,"Course of Action for MMS (Cont.) According to API RP 16Q (a non-referenced document) all riser systems should be inspected yearly with liquid penetrant or magnetic particle inspection performed in all critical areas, unless there is evidence that the inspections are not needed that frequently as determined by the manufacturer and contractor. The Safety Alert should cite ABB Vetco's Product Advisory of October 24, 2003 recommending a 6-month inspection frequency for their HMF Type F, G, and H riser systems. There is a general consensus that risk of failure is low and complacency is now the norm. Operators should also be encouraged to create and follow QA procedures for inspection and installation practices.",,,,
