Incident Number,Cause number,Cause Description,Cause type,Risk Management Cause,Human Factors  Cause, Failed PSM Framework Element
MC-20030521-0400,23,"NOTE: Transocean has met these requirements on the Discoverer Enterprise. All other vessels with suspect riser (Transocean's Discoverer Deep Seas, Discoverer Spirit, Deepwater Millennium, and Deepwater Pathfinder) have had visual inspection, dimensional inspection, hardness testing, stress relieving and TSA removed on all risers in service. Magnetic particle inspection was not an in-house requirement to return to service. New Orleans District inspected Discoverer Enterprise more often (in accordance with MOC policy). During inspections, verify that operations are being conducted in accordance with newly implemented riser operating procedures.",,,,
MC-20030521-0400,24,"Course of Action for Industry a) Reduce the susceptibility of suspect riser to EAC through replacement of the bolts and inserts with new design as follows: i) Reduce the stress in the insert shoulder to an acceptable level. Possible redesign considerations are changing the thread engagement, thus placing the shoulder in compression instead of tension; increasing insert length; increasing bolt diameter; stress relieving. ii) Reduce the hardness of the insert and bolt material to eliminate crack propagation. The original maximum hardness criteria set by the insert manufacturer was 40 HRC. The average hardness measured for 103 inserts after the incident was 37.5 HRC with 99 inserts harder than 35 HRC. Transocean has reduced the hardness criteria for its Class F riser inserts to a Rockwell Hardness below 35 HRC. iii) Remove all TSA from insert and bolt areas and modify procedures to eliminate overspray from the manufacturing process. iv) Increase quality assurance to eliminate cracked inserts and bolts from entering service.",,,,
MC-20030521-0400,25,"NOTE: ABB Vetco has redesigned the insert and bolt combination to achieve the requirements above. Transocean is in the process of repacing all existing inserts and bolts with the new design. Replacement will begin in the 4th quarter of 2003 and will continue until all suspect risers have been modified with an estimated completion in the 4th quarter of 2004. All new risers on order will be outfitted with the new design. Once all original design HMF Type F bolts and inserts are replaced with the new design, inspection frequencies can be increased. b) It has been suggested that the combination of subsea control fluid (hydraulic fluid) and TSA was the source of hydrogen atoms transferred to the inserts; studies are still ongoing to determine if this is the case. An investigation into a recent incident involving the failure of a kill line has produced recommendations to reduce the potential of recurrence. It is recommended that additional steps be taken to decrease the likelihood of hydraulic line leaks as follows: i) Operator/Contractor to develop detailed inspection program of riser seals and stabs. ii) Operator should review policies regarding operational limits and sea currents for running riser. Durations should be established for leaving riser hanging beneath vessel unlatched from wellhead. iii) Encourage BP and other operators to participate with contractors and manufacturers to improve choke, kill and hydraulic line seal design for VIV condition.",,,,
LB-6488-20030504-0740,1,Boom pawl was not engaged by operator. With mechanical cranes the potential for clutch slippage is generally present especially during heavy rain or foggy conditions. These weather conditions existed and contributed to this incident.,,,,
LB-6488-20030504-0740,2,"In reviewing the reason for the boom hoist clutch becoming wet, it was determined that preventive maintenance activities need improvement as they relate to maintaining the crane house seals.",,,,
MI-622-20040121-0314,1,"The electric motor and brake are designed and built together so that when power applied to the electric motor, the brake releases and the motor applies torque. When electric power is removed, the electric/mechanical brake is set. The mechanic did not read the procedures for removal of the motor for this mode of crane. Other types have brake bands on the cable drum. The mechanic failed to remove the load off the boom, which consisted of the boom, boom lifting pulleys and cable.",,,,
MI-622-20040121-0314,2,"Mechanic failed to read the manufacturers recommended motor removal instructions, by cradling the boom and removing all loads from the motor and gear train.",,,,
HI-47-20040519-0830,1,"In the instant that Byron King switched open the SSV, he realized his error, and then switched to close the SSV. Grasping the magnitude of the fire, Byron King then left the well control panel, ran down the adjacent stairs and closed the ESD switch located at the lower deck level. The time lag in the activation of the ESD would have been about one and one-half minutes to full closure. The blast of gas out of the open choke body which was about 2 feet above the deck was like a blow torch aimed directly toward the living quarters. The living quarters were constructed of aluminum, and it and its contents were completely destroyed along with the adjacent 2-300 gallon plastic fresh water tank next to the living quarters. No dry chemical system, deluge water system or safety shut down sysem could have saved the living quarters or anything else within the blast flame direction from the choke body within the closing time of the SSV. The 150 pound dry chemical wheeled unit adjacent to the living quarters would not have slowed the blaze. There was no fire wall or shield (such as an A-60 barrier) located between the choke manifold, production equipment, meter runs, and the living quarters.",,,,
HI-47-20040519-0830,2,"The main cause of the fire appears to be the inadvertent opening of the SSV at the control panel while the choke body cap was removed. There were three valves that could have been closed that would have prevented this fire; the master valve, the swab valve, or the ""wing valves"" on the swab flow line ahead of the sand knockout. None of these manual valves were closed, and there was nothing to hold back the full wellhead pressue from dischardging through the open choke body.",,,,
EI-32-20041227-0250,1,The direct cause of the pollution incident was due to a section of wire line wire that had lodged in the water dump valve on the outlet of the (FWKO). The wire caused the valve to stay in the open position allowing all liquids from the (FWKO) to over flow to the skinuner. The SDV on the inlet to the skinuner did not function properly due to a build up of scale and corrosion inside the valve. The LSH on the skinuner performed its design function and shut in the platform. The dump valve on the (FWKO) was replaced and the SDV on the inlet of the skinuner was repaired.,,,,
EI-32-20041227-0250,2,Wireline rope left in one of the wells from a previous wireline operation apparently flowed through the production process system and became lodged in the water outlet dump valve of the (FWKO) causing the valve to malfunction.,,,,
GC-236-20050516-1200,1,The PES packer leaked and the came in.,,,,
GC-236-20050516-1200,2,ZnBr brittled the elements on the PES packer. There was inadequate mud weight to handle the sand once the packer leaked. The crew had to wait 30 hours to receive the mud on location.,,,,
MC-778-20050708,1,"Findings indicate that failures associated with the hydraulic control system and its isolation on evacuation led to the partial opening of multiple hydraulically actuated valves in the ballast and bilge systems of the vessel. This allowed ballast water migration to take place, causing the initial listing (to approximately 16 degrees) of the vessel shortly after the hydraulic system was isolated. The findings also indicate that ballast water migrated into manned spaces in the lower hull, via faulty and improperly installed check valves in the integrated ballast/bilge piping system. As the degree of list increased beyond the 16 degree mark, downflooding of seawater occurred, initially through overboard discharge lines and/or vents, and possibly later through the deck box as it entered the water. Since the PDQ was already listing at a 16 degree angle prior to the passage of Hurricane Dennis, wave action associated with the passage of the hurricane may also have contributed to the downflooding of seawater. Although not an initiating event, failed Multiple Cable Transits (MCTs) and two unintended openings in the bulkheads allowed water transfer between watertight compartments, which led to extensive flooding and water damage in the lower hull.",,,,
MC-778-20050708,2,"The failure of BP, the operator, to develop standard operating procedures for the isolation of the Danfoss HPUs to be used during evacuation is considered a possible contributing cause of the event. Further, the failure of the operator to perform a HAZOP review of the Danfoss HPU system and/or inquire from the manufacturer as to possible hazards created from the improper operation of the HPU system is also considered a possible contributing cause of the event. The failure of the operator to conduct onsight verification inspections during the installation phase of the multiple cable transits is also considered a possible contributing cause. The failure of the MCTs increased the severity of the event. The failure of the operator to have remote monitoring and operation capabilities of the ballast control system prior to evacuation is also considered a possible contributing cause of the event. If this system had been operational at the time of evacuation, the HPUs may not have been isolated and the ballast control could have been remotely monitored and controlled from a land location.",,,,
GC-158-20051108,1,The shaker hand did not realize that the valve was not fully closed.,,,,
GC-158-20051108,2,The shaker hand was new to the position and the driller was new to the rig. There was lack of communication between the driller and the shaker hand.,,,,
ST-134-20051226,1,"Accident investigation revealed that electrical wiring in the horizontal wire tray was secured with a metal tie wire. The metal tie wire eventually cut into a 480 volt electrical cable due to vibration thus causing the wire to arc. The sparks contacted nearby Dynacell EMD air filters which are presoaked from the manufacturer with oil. The air filters ignited and the fire spreaded to rope, rubber goods and other supplies inside the storeroom. There were about 12 Dynacell EMD air filters inside the storeroom.",,,,
MP-299-20060201,1,The cause of the sheen appears to be carry-through of entrained oil from the Float Cell 107 treating Chevron production. The issue in this instance is the absence of heat in the treatment system results in a need for greater retention time in the Float Cell.,,,,
MP-299-20060201,2,"Although Chevron water treatment specialists had identified an upper limit for production rates during cold treating, Chevron operating personnel exceeded this production limit without warning Freeport-McMoRan operations and the excessive production rate was not identified.",,,,
WD-73-20060206,1,"It is concluded that when the valve stem failed at the threads, the gas mixture was released and ignited by contacting the external skin (temperature of 1140 F) of the combustion chamber of the # 5 compressor. Based upon the evidence at the scene the initial fire would have been relatively small and directed away from the area which sustained the most severe damage. However, the position of the broken valve was directly in line with the flange bolts of the discharge check valve on the # 5 compressor. It is believed that the initial fire went undetected for several minutes heating up the flange bolts to a point where the 8"" flange separated releasing gas at 1100 PSIG into the compressor building. This theory is supported by the observation after the fire that five (5) of the twelve (12) bolts on the flange were no longer tight. This second release and fire most likely caused the bulk of the damage within the building. This second fire would have been the one that raised the temperature to a level which actuated the CO2 I Fire Loop system which in conjunction with the ESD extinguished the primary fire.",,,,
WD-73-20060206,2,"The mechanical failure of the valve was possibly due to the misuse while closing or opening the valve with a wrench, for the wheel or handle on the valve was missing and the valve stem was bent.",,,,
VK-956-20060318,1,"Cable wear in the ""stress zone"" [exposed segment of rope that repeatedly travels back and forth over the sheaves] caused interior lubrication to break down. The inside of the rope dried out allowing moisture to get in and interior corrosion to occur resulting in the failure of the cable. This allowed the tote tank to free fall to the deck rupturing the tank spilling glycol to a deck skid pan, the glycol was processed through the sump system before discharging in the Gulf.",,,,
VK-956-20060318,2,Lubricant did not effectively penetrate the cable because of the compact windings. Broken core strands are not visually detectable because they can't find their way to the outside. The stiffness of the high strength cable causes broken outer strands to remain laid down making them difficult to visually identify. Relatively flat fatigue curve (compared to softer cables) means cable does not elongate very much before reaching its failure point.,,,,
VR-256-20060411,1,"At this time probable causes include, but are not limited to, faulty hose, faulty check valves on torch assembly, and faulty regulators causing overpressure of hose.",,,,
157-20060507-0400,1,"The probable cause of this incident was the absence of a swivel link at this anchor line connection. The Operator stated that due to a lack of equipment spares, a swivel was not installed. A swivel would have dissipated any stored torque energy in the anchor line.",,,,
GC-743-20060530-0009,1,It was not identified that when the ACS stopped the traveling block in the auto driller mode that the auto driller program would continue to count.,,,,
GC-743-20060530-0009,2,A design in the software program.,,,,
ST-20070208-2145,1,Fatigue failure of crane boom material is the probable cause of this incident.,,,,
ST-20070208-2145,2,None,,,,
GB-244-20070219-2020,1,A hand tight lifting-sub backed out of its connection and fell to the rig floor.,,,,
GB-244-20070219-2020,2,"The driller did not lower the top drive elevators unit enough to prevent the weight of the production tubing from backing off the lifting sub which caused a friction bite that backed the lifting-sub out of its connection to the 2-3/8"" production tubing.",,,,
WD-29-20070822-1500,1,Gas and air mixture in the crankcase of the # 1 compressor,,,,
WD-29-20070822-1500,2,Source of ignition coming from the backfire of the engine on the # 1 compressor,,,,
WD-29-20070822-1500,3,Engine was shut down for three hours,,,,
WD-29-20070822-1500,4,Leaking packing on the # 1 compressor piston rod allowing gas to enter the crankcase,,,,
WD-29-20070822-1500,5,Possible fuel mixture was to rich causing the # 1 compressor engine to backfire,,,,
WD-29-20070822-1500,6,The backfire passed through the power piston rings into the crankcase. This ignited the gas and air mixture in the # 1 compressor engine crankcase which caused the explosion,,,,
WD-29-20070822-1500,7,The wall and window in the compressor building redirected the hot oil onto the operators.,,,,
WD-29-20070822-1500,8,"Compressor # 1 was shut-in for 3 hours and due to a failed pneumatic relay, the suction SDV was still open and the BDV was still closed. This went undetected until the operator tried to start the compressor back up.",,,,
WD-29-20070822-1500,9,Crankcase access doors were made of cast iron and had a non-flame arrestor type relief area of only 25.25 square inches per panel. This was identified in a Safety Alert (Service News Bulletin 810) provided by Cooper Bessemer (issued in 1988 and then re-issued in September 1995) as a potential hazard.,,,,
MC-711-20071024-1815,1,Worn/defective drill bit or improper drill bit being used for the job.,,,,
MC-711-20071024-1815,2,Equipment was not thoroughly inspected before use.,,,,
GB-260-20071104-1615,1,The nylon sling exposure to the extreme heat of 800 degrees from the turbine generators exhaust caused melting of the sling to the point of sling failure.,,,,
GB-260-20071104-1615,2,"The decision by platform personnel involved in the lift to use a nylon sling instead of using wire rope slings. As a result, the slings were place in an area of high temperature which exceeded their design use, causing the slings to fail.",,,,
SP-78-20071115-0530,1,Human Error: Lack of communications between crew member and Captain of boat.,,,,
MC-727-20080306-1130,1,"Human Error: Equipment on deck of the boat was not secured properly. Injured Person was not in a safe place where he could move out of the way if equipment shifted. Equipment on boats, that is capable of movement should always be secured. Personnel should be aware of all hazards present and situations where an incident could occur. These should have been addressed in a safety meeting on the boat prior to commencing work.",,,,
MC-727-20080306-1130,2,High seas,,,,
EI-63-20080405-0725,1,The MT failed to recognize that he was performing maintenance on a pressurized section of the meter and also failed to verify that the meter was properly isolated and bled down before starting his work activties. There was also unclear communication between the platform personnel and the MT in regard to the meter housing being completely bled down.,,,,
EI-63-20080405-0725,2,N/A,,,,
VR-318-20080413-0730,1,The CCF attempted to transfer from the M/V Miss Debbie to the boat landing on VR 318A platform without the assistance of a swing rope.,,,,
VR-318-20080413-0730,2,Testimony displayed in the operator's data revealed that the CCF's sense of urgency to complete the job in order to meet a personal deadline caused the CCF to demonstrate poor judgment and attempt the transfer without a swing rope.,,,,
VR-318-20080413-0730,3,The failure to utilize Stop Work Authority (SWA) by all parties enabled the CCF to jeopardize his safety by attempting the unsafe transfer.,,,,
VR-318-20080413-0730,4,"The autopsy report revealed that the CCF had two different prescription pain medications in his system at the time of the incident, but since blood levels were not identified, it can only be assumed that this could have been a possible contributing cause.",,,,
GC-653-20080616-0716,1,"The drawworks has six motors to operate the top drive, but two of the motors were found not operating properly. As a result, the drawworks were not capable of operating at its full power capacity. The problem found with the two motors was within the motor shaft and pinion connection. The slip alarm, used for detecting if the TBA is slipping while traveling at a given speed, was set with an excessive delay of 10 seconds. The slip alarm is used for detecting if the block assembly is slipping while traveling at a given speed. The slippage sensing is observed on the pinion connection within the motors and allows the motors to share the load equally. This escessive delay did not give an early enough alarm that the TBA was slipping while descending and did not distribute the load equally among the motors. The total descent time was approximately 27 seconds. The emergency brake calipers were not designed for dynamic braking at the speed they were activated and were not able to stop the descent. It was also found that there was an excessive delay between the activiation from brake one to brake two of 6 seconds.",,,,
GC-653-20080616-0716,2,"The software logic for the drawworks did not allow for the emergency brake activation when the actual TBA speed was different from the speed the software sensed. This is due to the delay in the slip alarm. If the motor braking cannot hold the load, then the software logic did not allow the engaging of the emergency brake. It was also found that the amp output for the drawworks motors was only 906 amps, even though the motors are rated for 1120 amps. This lower amperage did not allow for full motor braking potential to be reached.",,,,
ST-68-20080713-1530,1,"The exhaust pipe has a small trap at its end to catch oil and unburned fuel that drains to a catch basin. When the engine is running at low speeds, carbon/oil/fuel mixture will build up in the exhaust. When the engine was made to run at a higher speed, heat from the exhaust caused the mixture build up to ignite.",,,,
ST-68-20080713-1530,2,"There is an extended vertical section on the exhaust before it makes a horizontal turn, which then goes to the trap for the pipe. There is not enough flow in the veritical section of the exhaust to push the mixture to the trap when the engine is being run at low speeds.",,,,
EW-20090213-1000,1,The positioning of the lifting eyes.,,,,
EW-20090213-1000,2,"The air tuggers were not at full power due low air pressure. Compressed air volume was inadequate to support usage. Also, an air tugger cable parted due to shock loading. Low air pressure reduced holding capacity and brakes were not holding.",,,,
EB-602-20090401-1520,1,"Grinding sparks landed on stored flammable items (i.e. sheets, towels, dry paper goods, aerosol cans, cleaners, etc.) located inside the hot work zone causing ignition of the fire. When workers went on break, the cutting torch was left unaccompanied inside the how work zone with charged fuel and oxygen in the hoses. The torch and hoses were melted and destroyed, allowing a continuous flow of fuel creating a larger fire.",,,,
EB-602-20090401-1520,2,Personnel did not remain in the hot work zone at least thirty-five minutes after work ended.,,,,
EB-602-20090401-1520,3,There was not a designated fire watch with fire watch duties only being performed.,,,,
EB-602-20090401-1520,4,All flammable materials had not been removed or covered properly within the thirty-five foot perimeter of hot work.,,,,
EB-602-20090401-1520,5,Workers did not remove shut-off oxygen and fuel gas bottles and bleed hoses down before leaving hot work zone.,,,,
EB-602-20090401-1520,6,Workers did not follow the issued and signed Job Safety Analysis Worksheet and Diamond Offshore Permit to Work (hot work permit).,,,,
MC-736-20090515-1600,1,"Rolls Royce, DNV, and SBMA each performed forensic engineering studies to identify the root cause of the incident.",,,,
MC-736-20090515-1600,2,Rolls Royce performed internal re-analysis.,,,,
MC-736-20090515-1600,3,DNV performed a fitness report of original design which showed full thickness overstresses in windlass frame.,,,,
MC-736-20090515-1600,4,SBMA performed comprehensive finite element analysis of combined windlass and hull structure which showed overstresses and related buckling issues of the windlass frame structure. The forensic engineering studies indicated that the windlass frames were inadequate for the CSR loads experienced.,,,,
MC-736-20090515-1600,5,Chain stop design: There was a lack of secondary mooring line control when paying out.,,,,
MC-736-20090515-1600,6,Quality control flaws in design process: The design laod was inadequate since it not account for the prescribed CSR load.,,,,
UNKEYED-dbd10f3a2ecb,1,Improper rigging procedures from side loading of the torque wrench resulted in failure of the eye bolt and the wrench falling to strike the IP on the right hand. Failure of the eye bolt resulted from the load rating of the eye bolt being decreased to 25% at 90 degrees or 30% at 45 degrees.,,,,
UNKEYED-dbd10f3a2ecb,2,Lack of control of the lifting operation since the Job Safety Analysis (JSA) did not detail how to recover the wrench from the Moonpool.,,,,
UNKEYED-dbd10f3a2ecb,3,Hand placement of the IP.,,,,
UNKEYED-dbd10f3a2ecb,4,Size and shape of the riser wrench resulting in a tight clearance through the diverter housing.,,,,
UNKEYED-5a69fdbfeb8e,1,"The accident occurred when the joint of drill pipe being lifted with the air tugger wedged between the top drive and the rig floor, then bowed out to strike the IP and cause his fall.",,,,
UNKEYED-5a69fdbfeb8e,2,The simultaneous operation's rhythm of the Derrickman hoisting one joint with the air tugger while the Driller lowered another joint with the block was dissrupted by the Driller answering the phone call.,,,,
UNKEYED-5a69fdbfeb8e,3,Possible fatigue and/or rushing to complete the operation was involved as a result of the accident occurring during the last 15 minutes prior to shift change.,,,,
UNKEYED-5a69fdbfeb8e,4,A design flaw with the air tugger's wire rope reeving configuration resulted in the pipe being pulled too close into the rotary table area.,,,,
WR-543-20100412,1,"The opening pressure of the ILT was set at 1100 psi (approximately 350 psi too high), which rendered the fail-safe system inoperable.",,,,
WR-543-20100412,2,There were no specific procedure exists for running casing using the ILT.,,,,
WR-543-20100412,3,The Operator of the ILT lacked adequate understanding of the equipment he was using (lack of training).,,,,
WR-543-20100412,4,There was no documented maintenance recording system for the ILT.,,,,
UNKEYED-78d9653baf3f,1,"The fire was caused by the molten spray from the cutting operation, contacting the tarp covering the 30 bbls of flammable liquid.",,,,
UNKEYED-78d9653baf3f,2,"Prior to any welding or burning operations being conducted, personnel failed to adequately assess the area and remove the flammables before issuing a hot work permit.",,,,
UNKEYED-78d9653baf3f,3,There was no welding Job Safety Analysis (JSA) conducted for the cutting torch operations.,,,,
WC-20100928-1615,1,"The cutting process produced hot, incandescent, molten slag that was ejected from the cutting tool with sufficient quantity and force to reach the inside wooden area of the office building wall through a gap between the fiberglass exterior covering and the building's wood framing.",,,,
WC-20100928-1615,2,"The severity of the fire could be contributed to the following: The JSA did not properly classify wood combustible materials that were located immediately adjacent to the torch cutting operation. Proper classification of the wood combustible materials as a Class ""A"" fire hazard would have shown that the cooling and quenching effects of water are of first importance. The initial response to the subject fire included the use of dry chemical type fire extinguishers that are better suited to fight a Class ""B"" type fire, such as flammable liquids, where the blanketing effects of the dry chemical are essential. The twelve (12) thirty pound and one wheeled unit dry chemical type fire extinguishers were used initially with no",,,,
WC-20100928-1615,3,The severity of the fire could be contributed to the following: * * * * * PROPRIETARY * * * * * * success.,,,,
WC-20100928-1615,4,"The severity of the fire could be contributed to the following: A water hose was specified in the JSA to be available to eliminate or minimize the fire hazard, but it was not initially in the immediate area of the fire; nor was it capable of delivering the pressure and volume required to effectively fight the fire. The fire was not extinguished until the attendant vessel used its fire water monitor to spray large quantities of water on the fire.",,,,
WC-20100928-1615,5,The severity of the fire could be contributed to the following: No shielding was present to prevent the hot slag from entering the wall of the building.,,,,
WC-20100928-1615,6,The severity of the fire could be contributed to the following: The fire was not observed until well advanced into the burning process since the position of the torch cutter precluded him from observing the building's inside wall.,,,,
HI-20240711-0730,1,Human Performance Error- Inadequate knowledge of equipment operation: Engagement of Winch with Handle in Place: The primary cause of the incident was the engagement of the powered winch while the winch assist handle was still inserted and in bypass to allow winch to operate.,,,,
HI-20240711-0730,2,Failure to Follow Safety Protocols: The failure to remove the winch assist handle before engaging the powered winch directly led to the incident. It was learned after the initial investigation that a safety device was bypassed allowing winch to operate.,,,,
HI-20240711-0730,3,Human Performance Error- Not aware of Hazards:,,,,
HI-20240711-0730,4,"Lack of Job Safety Analysis (JSA): The task was considered routine, and no JSA or Job Safety and Health Analysis (JSHA) was conducted. The weekly checklist did not include the actual operation of the winch.",,,,
HI-20240711-0730,5,"Improper Equipment Handling: The winch assist handle was not removed prior to engaging the powered winch in bypass, leading to the incident.",,,,
UNKEYED-c1910c975417,1,"LIST THE PROBABLE CAUSE(S) OF ACCIDENT, Pressurized fluids were trapped between the flow safety valve and a downstream header block valve. Once the flowline connection was partially opened, the trapped fluids were free to escape. Interviews with wellbay operators indicate that the system does not provide the means which to bleed down trapped pressure downstream of the flow by safety valve.",,,,
UNKEYED-c1910c975417,2,"LIST THE CONTRIBUTING CAUSE(S) OF ACCIDENT, Worker may not have followed proper procedure or safe work practice in electing to remove threaded studs by cutting rather than unscrewing. Cutting of the studs may have resulted in a sudden separation at the connection flange rather than a gradual separation which may have been achieved by unscrewing. Worker may not have obtained prior approval from job foreman to cut threaded studs. Studs may have been in need of replacement if threads were galled or damaged to prevent proper unscrewing othe~ise action.",,,,
HI-20110201-1500,1,"The original charger's old nickel cadmium batteries internally shorted, resulting in melting of the battery casings and ignition of the released battery fluids.",,,,
HI-20110201-1500,2,"The original battery charger's breaker was turned back to the ""on"" position without platform personnel being made aware of the breaker's status. Without this knowledge, a competent platform person could not ensure proper method of battery charger isolation and discharge of the storage energy.",,,,
HI-20110201-1500,3,The old unused cadmium batteries were not inspected to ensure they were in good condition and being maintained in accordance with the manufacturer's recommendations.,,,,
EI-175-20110510-0930,1,"The CO inadvertently pulled the auxiliary line lever while attempting to raise the load line, and then failed to react quick enough to prevent the auxiliary ball from making contact with the boom tip.",,,,
EI-175-20110510-0930,2,"The Apache Corporation's Offshore Crane and Maintenance Program Section 6.0 (d) Operating Practices, Procedures, and Requirements indicated that required crane safety devices (i.e., anti-two blocking mechanisms on hoist lines, high and low boom angle shutdowns) shall be functioning properly whenever the crane is in operation. The anti- two block system was inspected after the incident and failed to stop the auxiliary line once the anti-two block was actuated.",,,,
GC-20110606-1355,1,"The IP did not fully understand the scope of the work; therefore, removed more than one bolt at a time during the hot bolting operation.",,,,
GC-20110606-1355,2,The IP: Did not sign the job safety analysis (JSA);,,,,
GC-20110606-1355,3,The IP: Was working alone without notifying control room personnel; and,,,,
GC-20110606-1355,4,The IP: Did not deenergize the equipment before performing maintenance.,,,,
GI-20110825-0500,1,The Driller's lack of awareness of how many and what size drill pipes and how many stands were being pulled; expecting that there was one more stand of 90' drill pipe.,,,,
HI-20230105-1730,1,Build up and clogging of the Still Column Vent pipe.,,,,
HI-20230105-1730,2,None,,,,
AC-857-20230103-2217,1,"Failure of the Universal Power Supply, UPS-7560 resulted in a loss of power.",,,,
AC-857-20230103-2217,2,None,,,,
EI-251-20170720-1645,1,BSEE's incident investigation revealed the primary cause of the incident was attributed to the drill line unspooling from the drawworks drum.,,,,
EI-251-20170720-1645,2,"The possible contributing causes identified by BSEE for this incident included: 1) failure to prevent the drill line from developing slack on the drawworks drum’s bottom layer and unseating from the LeBus grooves; 2) failure to include enough drawworks drum drill line wraps to ensure proper seating on the drum grooves; 3) failure to install the properly sized drill line cable clamp; 4) failure to install proper drum drill line clamp bolts; and 5) failure to identify the hazards in the pre-job job safety analysis of controlling a lighter traveling block load while maintaining drill line tension so that the drill line was properly seated in the drum grooves on the drawworks drum. The OIM, who was operating the traveling block at the time of the incident, was performing similar travel block operations that the driller performed the day before with the same light block load. The differences in the traveling block operator’s capability to operate the drawworks brake to ensure proper fast line tension could have been a contributing cause of the incident. Currently there is no evidence for this case. While evidence does exist that proper slacking on and off the drum spool during the time of the incident would cause the line to loosen its grip around the circumference of the drawworks drum thus exerting excessive load against the drum drill line clamp.",,,,
SM-6683-20040725-1700,1,Mr. did not follow the ExxonMobil 100% tie off requirement while atteIIipting to reposition himself.,,,,
SM-6683-20040725-1700,2,Mr. and Mr. did not discuss the need to keep tension on the three-chain falls. It is speculated that the pipe spool would not have shifted if all three chain falls attached to the pipe spool were under tension at the time of the incident.,,,,
