Incident Number,Cause number,bsee_source_field
LA-6660-20110609-1230,4,19
SM-6524-20050106-0026,1,18
VK-989-20060111-0121,1,18
VK-989-20060111-0121,2,19
VK-989-20060111-0121,3,19
MP-299-20060114-0300,1,18
MP-299-20060114-0300,2,19
MP-299-20060114-0300,3,19
MC-734-20060118-1745,1,18
KC-292-20060129-1016,1,18
KC-292-20060129-1016,2,19
MP-299-20060201-0800,1,18
MP-299-20060201-0800,2,19
MP-61-20060205-1100,1,18
MP-61-20060205-1100,2,19
WD-73-20060206-0230,1,18
WD-73-20060206-0230,2,19
SP-75-20060209-1330,1,18
SP-75-20060209-1330,2,19
WD-71-20060210-0800,1,18
WD-71-20060210-0800,2,19
MC-822-20060212-0630,1,18
MC-822-20060212-0630,2,19
MP-299-20060214-1800,1,18
PL-13-20060215-1400,1,18
PL-13-20060215-1400,2,19
PL-13-20060215-1400,3,19
PL-13-20060215-1400,4,19
PL-13-20060215-1400,5,19
PL-13-20060215-1400,6,19
PL-13-20060215-1400,7,19
PL-13-20060215-1400,8,19
VR-218-20060217-1000,1,18
VR-218-20060217-1000,2,19
ST-21-20060222-0825,1,18
VR-218-20060306-1130,1,18
VR-218-20060306-1130,2,19
AC-856-20060310-1630,1,18
AC-856-20060310-1630,2,19
MC-204-20060317-0800,1,18
MC-204-20060317-0800,2,19
VK-956-20060318-1900,1,18
VK-956-20060318-1900,2,19
MC-194-20060319-1000,1,18
WR-544-20060320-0822,1,18
WR-544-20060320-0822,2,19
AT-140-20060322-0850,1,18
AT-140-20060322-0850,2,19
WD-29-20060331-0845,1,18
WD-29-20060331-0845,2,19
MP-30-20060407-2245,1,18
MP-30-20060407-2245,2,19
GC-243-20060409-0945,1,18
VR-256-20060411-1400,1,18
MP-101-20060413-0730,1,18
MP-140-20060423-0830,1,18
EI-360-20060427-0530,1,18
EI-360-20060427-0530,2,19
GC-157-20060507-0400,1,18
WR-544-20060509-0641,1,18
WD-34-20060525-1500,1,18
WD-34-20060525-1500,2,19
SM-106-20060529-1530,1,18
SM-106-20060529-1530,2,19
GC-743-20060530-0009,1,18
GC-743-20060530-0009,2,19
GC-645-20060604-0703,1,18
GC-645-20060604-0703,2,19
EB-165-20060607-1130,1,18
EB-165-20060607-1130,2,18
EB-165-20060607-1130,3,18
EB-165-20060607-1130,4,19
EI-391-20060616-0830,1,18
EI-391-20060616-0830,2,19
MU-20060622-1345,1,18
MU-20060622-1345,2,18
MU-20060622-1345,3,18
MU-20060622-1345,4,19
MU-20060622-1345,5,19
MU-20060622-1345,6,19
MU-20060622-1345,7,19
HI-193-20060623-1230,1,18
HI-193-20060623-1230,2,19
HI-20060629-0810,1,18
HI-20060629-0810,2,18
HI-20060629-0810,3,19
MI-555-20060702-1715,1,18
MI-555-20060702-1715,2,19
GB-668-20060703-0730,1,18
GC-608-20060711-1715,1,18
GC-608-20060711-1715,2,19
VK-823-20060718-2200,1,18
VK-823-20060718-2200,2,19
MP-299-20060718-0815,1,18
MP-299-20060718-0815,2,19
SS-182-20060730-1445,1,18
SS-182-20060730-1445,2,18
SS-182-20060730-1445,3,19
SS-182-20060730-1445,4,19
SS-182-20060730-1445,5,19
MP-77-20060801-0730,1,18
MP-77-20060801-0730,2,19
EI-331-20060802-1645,1,18
EI-331-20060802-1645,2,19
ST-148-20060804-1200,1,18
ST-148-20060804-1200,2,19
MP-306-20060810-0715,1,18
VK-432-20060814-1330,1,18
MC-776-20060815-0800,1,18
MC-776-20060815-0800,2,19
MC-776-20060815-0800,3,19
MP-296-20060815-1240,1,18
MP-296-20060815-1240,2,19
MP-296-20060815-1240,3,19
MP-296-20060815-1240,4,19
GI-47-20060815-1745,1,18
GI-47-20060815-1745,2,19
AT-574-20060817-0200,1,18
AT-574-20060817-0200,2,19
SS-138-20060820-0330,1,18
SS-138-20060820-0330,2,19
WD-71-20060825-1620,1,18
MP-299-20060905-0900,1,18
MP-299-20060905-0900,2,19
MP-299-20060905-0900,3,19
MP-299-20060905-0900,4,19
