Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
SM-149-20040328-0800,,,2004-03-28,08:00,,SM,149,,,,,,,,,INV-26f883,,,,SUP-8cd856,District Supervisor,,,,,"The rig welder and roustabout had attached a three-quarter (3/4) inch rope to a 5
inch mooring line that was being lowered to the port side of the drilling rig by the
crane operator. The rig welder's leg was struck by the 5 inch mooring line and was
pinned against a handrail resulting in a fracture of his A JSA was conducted
t~bia.
prior to the rig crew removing the mooring line. The injured worker was attended to
by medics on the rig and was later transported by medic-vac to Terrebonne General in
Houma, La.
Note: The crane operator had received training in crane operations and the roustabout
and welder had received training in rigging operations.",The rig welder's leg was struck by the 5 inch mooring line and was pinned against a handrail resulting in a fracture of his A JSA was conducted t~bia.,,,,,,,,,,,,,,,
ST-260-20040329-0130,,,2004-03-29,01:30,,ST,260,,,,,,,,,INV-89ea4d,,,,SUP-043edd,District Supervisor,,,,,"On 29 March 2004, at approximately 0130 hours, Walter's Oil and Gas Corporation's
Platform A, at South Timbalier Block 260, was struck by an unknown vessel. An
Emergency Shutdown Signal was recieved at the main structure. The field boat was
then sent to Platform A and the damage was found. The platform was unmanned and no
injuries or pollution has been reported. At the time of the collision, Walter Oil
and Gas stated that the fog horn and the platform's navigational lights were
operational. As of the writing of this report, the vessel operator has not come
forth to calm the damage.
Damage to the structure is relatively minor, with most of the damage belonging to the
platform's components. Visibility on the night of the incident was unlimited with
seas running 1-2 feet. And there was a light breeze of 5 knots. The Coast Guard has
been notified.",The platform was unmanned and no injuries or pollution has been reported.,,,,,,,,,,,,,,,
HI-47-20040519-0830,,,2004-05-19,08:30,,HI,47,,,,,,,,,INV-5178c3,,,,SUP-39be26,District Supervisor,,,,,"On Wednesday, May 19, 2004, at about 0735, a fire broke out on Spinnaker's High
Island (HI) Block 47 A platform. Two contract workers were injured. The Production
foremen works for the Wood Group. The well on this platform has a shut in pressure of
psi and produces with a FTP of psi. The well produces about MMCF/D,
bbls of condensate and bbls of water per day. The well also has an H2S
component of about ppm, and a content.
The activities at the time of the incident included bleeding down the flow line and
removing the hydraulic controlled choke and the choke seat from the choke body. The
SSV located on the tree had been closed from the control panel, allowing for the flow
line and sand knockout to be bled down. No other valves on the tree or flow line
were closed except those downstream of the choke body to isolate the pressure in the
production equipment. The cap was then removed from the choke body in order to remove
the choke seat. At this time, Byron King apparently mistakenly opened the control
switch for the SSV and allowed the full wellhead pressure to flow through the open
ended choke body. At that instant, Mr. , still at the control panel,realized his
mistake and then closed the control switch for the SSV. The lag time interval
between opening and then closing the SSV with the control switch is esitmated to be
about 20 to 45 seconds depending on his reaction time. In this interval, the full
well volume was blowing from the open choke body toward the living quarters.
The wind was blowing from the Southeast to the Northwest which allowed the gas vapor
to blow over the meter run house and generator house. The Generator is assumed to be
the point of ignition of the gas, and it was consumed in the resulting fire along
with the adjacent meter run house, meter runs and telemetry. The direction of the
blast from the open choke body was directly toward the living quarters located about
25-30' away from the open choke body, and the living quaarters were rapidly consumed
in the blaze. The contract injured man with the burns worked for E S & H and was in
the living quarters at the time of the incident, while the other contract man working
for Schooner Chokes sustained the broken bone when he jumped to the lower deck.",,,,,,,,,,,,,,,,
WC-237-20041106-0800,,,2004-11-06,08:00,,WC,237,A,,,LIFTING DEVICE,,,,,INV-f12068,,,,SUP-ca93c2,District Supervisor,,,,,"The lead operator was instructed by the production foreman to proceed to WC-237-A and
offload wireline equipment. The lead operator stated that when Mr. Nichols stepped on
well A-6 hatch cover it gave way and Mr. Nichols and the hatch cover fell to the deck
below. The lead operator also stated that it was the first time they had ever been on
the platform. Although there was no JSA filled out, the lead operator mentioned that
safety issues related to the scope of the job were discussed.
The TODCO-152 departed the platform in August 2004 after working on three different
wells. While the rig was on location it conducted a sidetrack operation on well A-6.
Our investigation of the A-6 well access opening revealed that the structural beams
which support the access hatch cover were cut. Other large openings in the deck were
discovered while conducting our inspection of the facility. Our investigation also
revealed that A construction crew was on location approximately 10 days prior to the
date of the incident, running a new pipeline riser and flowline for a new incoming
well (WC-237#5).
The hatch cover was picked up from the deck below in order to find out the possible
position the hatch cover may have been in prior to the accident. The first way we
tried it, the opening was to large allowing the cover to fall straight through the
opening and when the hatch cover was turned it allowed approximately 1/4"" to 1/2"" of
the angle iron frame to set on the edge of the opening. With the beams being cut it
allowed the hatch cover to move freely inside the opening.",,,,,,,,,,,,,,,,
EI-327-20041223-1420,,,2004-12-23,14:20,,EI,327,,,,,,,,,INV-831f75,,,,,,,,,,"a. Hot Work Permit issued at 6:00 hrs of the day of the incident. The permit covered
burning, grinding, and electric tools. The hot work requirements included the use of
gas monitors, ""combustibles removed"", ""vents/drains sealed"", and fire blankets.
b. The segment of piping to be removed was isolated from the rest of the process
system by blinded flange joints. The blanket gas to the Float Cell {ABM-600) was cut
off.
c. The area was surveyed with a portable gas detector.
d. The segment of piping to be removed was cut into manageable pieces using a cold
cut saw.
e. The cold cut saw blade became dull before beginning the last cut.
f. The decision was made to make the last cut with a cutting torch.
g. The decision was made to not cover the Float Cell because the 25-35 knot winds
were thought to reduce the risk of fire more effectively {by preventing a
concentration of flammable vapor) than a fire blanket {which could allow a
concentration of flammable vapors to form beneath it).
h. Cutting operations commenced with a torch on the last segment of piping. The
location of the cut was four 4 feet, 2 inches directly north, and 8 feet above the
north most vent opening of the Float Cell.
i. An explosion was heard by the construction crew, who then observed that the hatch
covers had blown off the Float Cell. A small fire was burning inside the float cell.
j. The fire watch and welder foreman extinguished the fire in about one minute.",,,,,,,,,,,,,,,,
EI-32-20041227-0250,,,2004-12-27,02:50,,EI,32,,,,,,,,,INV-500073,,,,SUP-7f8193,District Supervisor,,,,,"At approximately 02:48 hours on December 27, 2004, an alarm was sounded at Unocal.'s
Eugene Island 32 ""A"" platform. Personnel were alerted of a process equipment upset at
their adjacent Eugene Island 32 ""F"" platform. The 32 ""F"" platform is unmanned and
production process operations are monitored by use of a SCADA system from the 32 ""A""
platform. A boat was called to transport personnel to the 32 11F11 to investigate the
cause of the alarm. Upon arrival at Eugene Island 32 ""F"" platform at 05:45 hours,
personnel reported that no pollution was observed originating from the platform. Once
onboard it was determined that additional equipment (pumps, containers and hoses)
would be needed to recover oil from the decks and sump system. Upon returning to the
platform at 07:45 hours to begin clean up operations, personnel observed a slick
leaving the platform in a northwest direction. While gathering information to be
reported, a (MMS) inspector from the Lafayette District arrived on location. The
pollution was reported to the NRC (Case No. 745385) at 08:00 hours; which documented
that 75 gallons of light gravity oil was released from the sump tank outlet on the 32
""F"" platform. With the platform totally shut in, no instrument gas supply was
available to operate the sump pump to prevent oil from carrying over into the gulf.
The platform decking was cleaned and the equipment involved in the incident was
repaired. The platform was returned back to full production operations at 14:35.",,,,,,,,,,,,,,,,
LA-6660-20110526-1130,,,2011-05-26,11:30,,LA,6660,HOUCHIN,[J,,LIFTING DEVICE,,,,,INV-4db504,,,,SUP-03f6b5,District Supervisor,,,,,"2 men were lifting a 4a valve from the deck into a small
& were lifting a 4n gate valve.
on the edge of the basket, the valve was set on",,,,,,,,,,,,,,,,
LB-6437-20110528-0945,,,2011-05-28,09:45,,LB,6437,EDITH,[J,,LIFTING DEVICE Ensign Rig,,,,,INV-2a2494,,,,SUP-976770,District Supervisor,,,,,"// Ensign crew was pulling 3 1/2R tubing out of well B-6. A stand of pipe was pulled
& the slips were set, tong operator backed out stand to be stood back. Driller
lowered the stand & floor hands placed the stand on the racking boards. The driller
then came down with the blocks. The derrick man unlatched the stand & pulled the
stand back. The blocks started coming down as the stand started to get away from the
derrick man. The derrick man put his hand on the collar of the pipe as the blocks
struck the derrick mans hand.& pipe causing injury to
The derrick man was lowered out of the derrick & was
County by Mercy Air.",,,,,,,,,,,,,,,,
WC-280-20050114-1145,,,2005-01-14,11:45,,WC,280,,,,,,,,,INV-733aef,,,,SUP-4bda24,District Supervisor,,,,,"Our investigation revealed the platform was shut-in and bled down the morning of 1­
14-05. The pipeline company arrived at around 10:30 a.m. to perform
maintenance on their valves. Before Duke departed the platform the 16"" sales valves
and 16 riser valves were closed. Operations personnel were having problems
11
maintaining dry fuel gas to run the gas generator. Later in the day the decision was
made to flow the platform in order to get rid of the condensate in the vessels, so
the 16 sales valve, 16 riser valve and 2"" condensate injection line were opened.
11 11
Production personnel used well B-8 to pressurize the system and at 5:15 p.m. on 1-14­
05 the pressure on the pipeline meter tube was 870 psi. Personnel reported condensate
blowing out the flare boom and openended piping on the coalescer at around 9:15 p.m.
on 1-14-05. The decision was made to shut back in and bleed the system down. It is
evident that the system was not isolated and bled down the same way it was that
morning because pressure remained on the pipeline meter tube. Once the pressure was
bled off the production equipment, the 3rd party construction crew continued removing
old valves from the coalescer. Gas was reported coming from the top of the coalescer
at around 11:30 p.m. and the 1/2"" ball valve and gauge valves were closed. The gas
release began at around 11:45 p.m. on 1-14-05 and lasted until 8:45 a.m. on 1-16-05.",,,,,,,,,,,,,,,,
SS-92-20050119-0900,,,2005-01-19,09:00,,SS,92,,,,,,,,,INV-9bb6e7,,,,SUP-810168,District Supervisor,,,,,"The Bois D'Arc field boat, the M/V Angelle Cenac, departed the field at 1930 hours on
January 18, 2005, to return to the Dulac Dock. The vessel passed by Ship Shoal 92
platform 3 and noticed that the navigation light was working. The next morning, at
0900 hours, on the trip back to the field, the captain of the motor vessel noticed an
outrigger lying across the platform. Due to damage the platform, the fog horn and
navigation lights could not be checked i:mmediately. They were checked at dark on
January 19, 2005 by Bois D'Arc personnel and found to be working properly.",,,,,,,,,,,,,,,,
SS-209-20050119-1800,,,2005-01-19,18:00,,SS,209,,,,,,,,,INV-824d41,,,,SUP-f5aac9,District Supervisor,,,,,"Due to vibration, the 3"" nipple broke on the compressor hydraulic fan pump causing
hydraulic oil to spill on the hot exhaust of the compressor. Heat from the exhaust
caused the hydraulic oil to burn. The fire was extinguished with about one-third of
a 150 lb. dry chemical wheel unit.",,,,,,,,,,,,,,,,
WR-508-20050120-2230,,,2005-01-20,22:30,,WR,508,,T.O. DEEPWATER HORIZON,,LIFTING DEVICE,,,,,INV-c72aa6,,,,SUP-72f358,District Supervisor,,,,,"At approximately 2230 hours, the Crane Operator (CO) began refueling the starboard
crane while the crane was running. The CO went back to the crane cab and forgot
about the refueling operation. The CO began offloading a pallet and back-loading
boxes onto the Motor Vessel ""Damon B. Bankston"". Around 2300 hours, the CO noticed
that the fuel tank was full according to the fuel gauge in the crane cab and called
the Engine Control Room (ECR) to shut off the fuel. After calling the ECR, the CO
noticed smoke coming from the crane pedestal. The CO called the Bridge and reported
a fire in the starboard crane engine compartment, and the Bridge announced the fire
over the PA. Emergency personnel reported to their stations and the crew members
reported to their muster areas until the situation was deemed safe and secure. The
Fire Teams extinguished the fire using dry chemical extinguishers and firefighting
water.",,,,,,,,,,,,,,,,
ST-308-20050210-0430,,,2005-02-10,04:30,,ST,308,,,,,,,,,INV-a1927a,,,,,,,,,,"The crane operator had repositioned the tool box to make room for placement of a W/L
unit. While attempting to swing the eastside crane around to retrieve the W/L unit,
the crane fastline became entangled in the westside (seatrax) cranes' walkway. When
the fastline became free, the hook and ball swung in the direction of the helicopter.
The crane operator attempted to ""pull up"" on the fastline but was unable to prevent
the hook from colliding with the helicopters' main rotor blade and tail fin.",,,,,,,,,,,,,,,,
MC-772-20050220-1100,,,2005-02-20,11:00,,MC,772,,,,,,,,,INV-3a32ad,,,,SUP-d6297c,District Supervisor,,,,,"A contract employee injured his hand while attempting to unclog a 611 vacuum hose.
The hose had become clogged while the crane crew was not available to change out the
cuttings box that was full. When the employee released the cam lock and pulled to
release the hose, the weight of the hose, which was clogged with mud and cuttings,
was too much for the employee, and it fell against a pipe with his hand under it.
The resulting injury was a broken index finger with damaged tendon, and a severely
bruised and cut thumb.
Findings:
No JSA was prepared by the employee or by the safety man on rig. Also, the overall
job could have been planned better by allowing for the use of a chain hoist that is
engineered for these types of jobs. This equipment is designed so that one
technician can control the process of filling and changing out cutting boxes without
the need for relying on the Crane Crew to be focused on the 11 0 Discharge"" system at
all time to change out full boxes or risk having the system back up. Finally,
although this equipment was not used on this job, there was no pre-job coordination
with the rig officials regarding an assignment of additional personnel to assist in
handling coillill.on situations like the clogging vacuum line.
There was a lack of coillill.unication and coordination with the representatives of the
Drilling Contactor or Operator, regarding the designation of assistance for one man
crew if needed.
The employee did not follow correct procedures for
tried to correct the problem without getting help.",,,,,,,,,,,,,,,,
