Incident Number,incident Title,Incident Classificatioin,Date of Incident,Time of Incident,Date of Report,Site,Area,Unit,Detail,Work Group,Description,Incident Type A,Incident Type B,Incident Type C,Incident Type D,Investigation leader - Name,Investigation leader - Position,Incident Classified by - Name,Incident Classified by - Position,Investigation Acceptor/Approver (Owner) - Name,Investigation Acceptor/Approver (Owner)- Position,Approval Date,Close out Approval - Name,Close out Approval - Position,Close out Date,What happened?  ,What was the outcome?,Incident Classification,What was the worst outcome that could reasonably be expected to have happened?,Health & Safety Incident - Classification,Health & Safety - Risk Score,Health & Safety  - Consequence,Health & Safety - Likelihood,Environment & Reputation - Incident Classification,Environment & Reputation - Risk Score,Environment & Reputation  - Consequence,Environment & Reputation - Likelihood,Financial Cost & Business - Incident Classification,Financial Cost & Business Interruption - Risk Score,Financial Cost & Business Interruption  - Consequence,Financial Cost & Business Interruption - Likelihood,How did the incident occur
GC-478-20240502-1620,,,2024-05-02,16:20,,GC,478,,NOBLE STANLEY LAFOSSE (FKA,,LIFTING,,,,,,,,,SUP-89289d,District Supervisor,,,,,"On May 2, 2024, a lifting incident occurred on the drillship Noble Stanley Lafosse,
which was working under contract for Murphy Exploration & Production Company – USA
(Murphy). Underwater Inspection in Lieu of Dry-Docking (UWILD) operations were being
conducted at GC 478, OCS-G35662. A 3rd party company was conducting 5-year
recertification of forward starboard crane. During the 3rd test to 110% of the crane
rating, the brakes failed causing a pressure spike and a test fitting failure. The
total amount of property damage was $168,150.00.
During the afternoon, a 5-year recertification of the Forward Starboard knuckle boom
crane (KBC #1) was to take place. A Permit to Work (PTW), Lift Plan, and Task Risk
Assessments were completed prior to starting operations. Recertification operations
took place without incident until 16:20 hrs.
While initiating load test three of four on (KBC #1), a winch brake assembly failure
occurred resulting in the water bag descending into the water. The load tests were
being performed after the winch brake assemblies were changed, which is an Original
Equipment Manufacturer (OEM) requirement every 5 years. The winch brake assembly
failure occurred at approximately 70 metric tons (MT) while trying to reach the full
load test of 93.5 MT. As a result of the failed brakes, a Loss of Primary Containment
(LOPC) occurred due to a hydraulic test port failure during the descent of the water
bag, which sprayed hydraulic fluid onboard the rig.
The load test was stopped and the Offshore Installation Manager (OIM), Drill Site
Leader (DSL), and Safety Training Supervisor (STS) were notified. The situation was
evaluated and a plan was put in place to recover the water bag and place the crane in
cradle. An announcement was made warning of slick decks from hydraulic fluid and the
pipe rack was barriered off to prevent possible slip hazards. Scupper plugs were
installed in the drains to keep the LOPC isolated to the pipe rack. The water bag
contacted the corner of the take-on station causing it to rip open and descend to the
Gulf of Mexico. Initial inspection of the brakes, motor, and crane cable was
completed by the contractor and two third party crane companies. This inspection
revealed a failure of two hydraulic motors and four brake assemblies.
The Bureau of Safety and Environmental Enforcement (BSEE) Houma District office was
notified orally and a written report was submitted in eWell within 15 days. The BSEE
Houma District inspectors (inspectors) were able to perform an onsite investigation on
May 16, 2024, to gather additional documentation, pictures, and witness statements.
Technical Information
5-fall - Also known as 5 parts. KBC #1 is rated up to 84 MT when utilizing the 5-fall
block, which was being used during the load test. When strung single fall they are
rated for 17 MT Sea lift area - this is the area outboard of the ship and is defined
during the installation and setup of the crane.
Internal lift zone - this is the area over the deck of the ship and is defined during
crane installation and setup.
Sprag clutch – A sprag clutch is a one-way freewheel clutch. It resembles a roller
bearing but, instead of cylindrical rollers, non-revolving asymmetric figure-eight
shaped sprags or other elements allowing single direction rotation, are used. When
the unit rotates in one direction, the sprags tilt slightly, producing a wedging
action and binding because of friction. In the case of cranes, sprags may be used in
conjunction with disc brakes.
Automatic Overload Protection System (AOPS) – a system that automatically safeguards
and protects the crane against overload and over movement during operation by allowing
the hook to be pulled away from the crane in a controlled manner to avoid significant
damage.
The load test was being conducted on 5-fall at 18-meter radius, with a 1 meter
significant wave height, and the test target was to hold for 5 minutes at 93.5 MT.
The failure occurred at 70 MT. The lift was made over the sea without resetting the
sealift area to stay in internal lift zone during testing. Resetting the sealift area
will prevent the AOPS from arming / activating at SWL x dynamic factor. At 18-meter
radius, the following would have been the maximum load with 5-falls and 1-meter
significant sea height: (SWL) 50.7 MT X 1.3 = 65.91 MT to reach AOPS activate level
set point.
The probable cause in this incident was due to KBC#1 being overloaded as per the sea
lift designated area (per AOPS over the side). Individuals performing the task did
not have proper training on (AOPS) functionality. There was no procedure to reset the
sea lift area when performing a 5-year load test over the side of the vessel. At 18-
meter radius, with 1-meter sea state, KBC#1 should have activated AOPS and control the
lowering of the load. When AOPS is activated, the motors load up equal to or greater
than the supported load and command the brakes to release. This allows the load to be
lowered in a controlled manner. According to the Operators investigation report, it
is likely that the four breaks didn't release simultaneously and the last break that
released caused the associated motor to drive over the sprag. This caused the sprag
to break, resulting in the loss of the load. The hydraulic motors were damaged due
to the uncontrolled descent which caused the motors to act as pumps. LOPC occurred
due to the motors becoming pumps with unregulated pressure which ejected two minimess
test ports.
All four brake assemblies were disassembled and inspected. KBC #1 brake assembly #4
showed no signs of heat or scoring, indicating it did not disengage when AOPS was
activated. Brake assemblies 1, 2, and 3 had heat marks indicating they had released
and attempted to engage. Sprag clutches were broken in brake assembly #4. The AOPS
engaged while all 70 MT was applied to the sprags / brake assembly plus the additional
torque of the all 4-motors attempting to lower the load. This exceeded the structural
limits of the sprag clutches and they sheared causing the uncontrolled descent of the
water bag. Noble maintenance routine from Legacy Pacific Drilling (L-PACD) provides
poor instructions on how to perform the load test and perform safety checks. Safety
checks are listed post load test. The work task references the TEC-WWD_SOW-016 - Load
Test for Post-Repair which provides poor guidance and does not specify to reset the
sealift area. Brake overhauls are being sent to the overhaul facility individually.
The brakes need to be disassembled when returned to the rig for installation. This
compromised workshop Quality Control checks.",,,,,,,,,,,,,,,,
EI-259-20120304-1330,,,2012-03-04,13:30,,EI,259,,,,LIFTING DEVICE,,,,,INV-c93cba,,,,SUP-54f854,District Supervisor,,,,,"On March 04, 2012, at approximately 1330 hours, a contract employee (CE) injured his
left knee while attempting to walk through a narrow walkway located next to a
containment pan on a crane. The CE was overseeing construction operations on the
facility when he decided to verbally communicate with the crane operator. The CE
climbed the ladder on the crane and proceeded towards the cab of the crane. As he
approached the containment pan, his right foot slipped from the walkway to the pan
causing his left knee to extend and twist to the left. He felt a pop in the left
knee and had to be assisted to the quarters. As the CE rolled his pants to examine
his injury, there was concern for the amount of swelling. The CE was transported to
Lafayette General to treat his injury. An MRI
possible ruptured tendon and required surgery
approximately three to six months of work.",The CE was transported to Lafayette General to treat his injury.,,,,,,,,,,,,,,,
UNKEYED-974899945cce,,,,17:00,,,6659,HILLHOUSE,,,LIFTING DEVICE,,,,,INV-98b050,,,,SUP-7e479c,District Supervisor,,,,,"II
On 10103112, crews were replacing the 4160 wiring from the 35Kv to 4160
transformer on the Hillhouse platform. IP was working in the main switch gear on
~oom
a ladder prepping new wires that were just installed for splicing. Two sets of 3
wires were pulled in to a J-Box approx 4x4 ft square. The ·decision was made to power
up the 35Kv cable from the beach to the platform. When the power came on, the wires
went live & arced in the box causing the person to receive flash burns to his £ace,
hands & to his groin. Burns were classified as lat to 3rd degree.",,,,,,,,,,,,,,,,
UNKEYED-d34a71a29a8c,,,2003-05-21,,,,,,T.O. DISCOVERER ENTERPRISE,,LIFTING DEVICE,,,,,INV-a2f3d8,,,,SUP-92138f,District Supervisor,,,,,"Well No. 6 was TD'd at 24,910' KB. Rig on the main rotary was in the process of
pulling out of hole with drill pipe at 24,726' KB when the rig experienced a heave
followed by a jarring action at 4:00 a.m. It was believed that riser had become
unlatched or parted. The remote operated vehicle (ROV), which was observing 20""
casing (from MC 778 No. 9) being run on the aft rotary, was sent to observe the
riser. It was determined that the riser had parted in at least two places. The
riser was parted at 3200' KB and one foot above the lower marine riser package
(LMRP). The ROV observed several joints of riser on the seafloor. The remainder of
the riser was located with one end penetrating the seafloor and the top at 5087' KB.
The casing shear ram and the lower blind shear ram closed via the deadman sequence
providing an effective seal on the wellbore. The drill string appeared to be intact
from the rig floor down to and into the riser that penetrated the seafloor. The ROV
was used to activate an upper set of blind shear rams at 8:53 a.m. A worst case
scenario (if all mud u-tubed out) of the discharge is 2450 bbls (pollutant volume
1421 bbls - 58% of 2450 bbls) of 13.7 ppg synthetic mud. No sheen was observed.
USCG and NRC were notified. BP sent a helicopter to observe for possible sheen. Sea
conditions at the time of the incident were 2' seas with a 1.9 kt current to the
South. The 20"" casing was pulled from the aft rotary and laid down.
The lower riser section was latched with slings on drill pipe from aft rotary and
secured at approximately 1000' above seafloor. Slips were set on drill pipe at rig
floor. ROV seafloor survey indicated only minor damage to nearby wells. Louisiana
Responder vessel arrived on location.
Performed minor repair on drawworks. Top drive system checked out fine. Pulled
drill pipe from forward rotary. Re-ran drill pipe through upper riser section on
forward rotary. Attached second sling to lower riser section with ROV. Released
drill pipe sling from aft rotary and attached to drill pipe on forward rotary.
POOH with drill pipe on aft rotary. Picked up and ran hydraulic riser pulling tool
on aft rotary. Stabbed and latched into lower riser section. Rotated rig to
position lower riser section away from wells in vicinity. No pollution observed.
Pick up on riser. Pull riser joints 26, 25, and 24 out of mud while positioning rig
south of drill center. Riser joints on seafloor appear to be connected. Jet mud
from beneath riser joint 23. Cut boost and choke line on riser joint 23 with rig ROV
chop saw.
Jumped ROV to make cut on riser with diamond band saw. Cut riser along with choke,
kill, boost, and rigid conduit lines. Picked up riser off bottom. Cleared Mux line
around bottom of lower riser section while slowly moving off location.
Lower riser section retrieved on aft rotary. Top joint (#39) of lower riser section
sent to Stress Engineering in Houston for analysis. Retrieved last joint (#40) of
upper riser section on forward rotary. Joint #40 also sent to Houston for analysis.
Lower Marine Riser Package was retrieved and repaired on rig for reuse. It will be
rerun to latch to BOP stack to begin fishing operations. All bolts and inserts from
the 3200 feet of upper riser to go through full inspection (including magnetic
particle inspection). Riser tubes to be analyzed for damage. BP team planning for
re-entry and well control plan. BP riser recovery team reviewing procedures for
recovering remaining riser on seafloor. Magnetometer survey indicated parts of riser
located 40' below mud line. MMS Accident Investigation Team (Lars Herbst, David
Trocquet, Fred Hefren) met with BP, Transocean, and Stress Engineering to discuss
incident and get update of their investigation.
17. INVESTIGATION FINDINGS (See",,,,,,,,,,,,,,,,
LB-6488-20030504-0740,,,2003-05-04,07:40,,LB,6488,EUREKA,[J,,LIFTING DEVICE,,,,,INV-95c802,,,,SUP-114cd7,District Supervisor,,,,,"Boom Pawl was not engaged. Had the boom Pawl
hoist clutch would not have allowed the boom
live mast.",,,,,,,,,,,,,,,,
LA-6709-20041104-0735,,,2004-11-04,07:35,,LA,6709,HABITAT,[j,,LIFTING DEVICE,,,,,INV-98d03e,,,,SUP-39caa0,District Supervisor,,,,,"While removing scaffolding from west side of production deck, contract employee
stepped onto unsecured plank causing it to teeter-totter. Employee was wearing full
body harness, life-jacket, and other PPE, but was not properly tied-off. Employee
fell about 35 feet impacting water on ·his side while in a fully-tucked (cannon ball)
position. Employee sustained a bruise to his left thigh (either from hitting the
plank or the water) and scratches to his face from his safety glasses when he hit the
water. Employee swam to an access ladder and pulled himself back onto the platform..
Employee assigned to light work duty the next day.
~as",Employee sustained a bruise to his left thigh (either from hitting the plank or the water) and scratches to his face from his safety glasses when he hit the water.,,,,,,,,,,,,,,,
MI-622-20040121-0314,,,2004-01-21,03:14,,MI,622,,,,,,,,,INV-bf7451,,,,SUP-30e9b4,District Supervisor,,,,,"This crane needed to be in tip top shape for an uncoming lift of 49000# coil tubing
package. The crane operator noticed the crane was making a noise,and the electric
motr speed was not working correctly. The electrician was called. While inspecting
the crane, the electrician noticed oil dripping from the boom motor seal. He in turn
notified the mechanic that the seal was leaking, and the decision was made to replace
the seal in the electric boom motor.
The mechanic then locked-out the power and acquired all of the work permits required
for this task. Ensco uses Job Hazard information, Work instruction, and a Permit to
Work (1-Cold Work Permit & 2-Isolation Certificate) . These take the place of a JSA.
The mechanic supported the motor and un-bolted the motor. When he slid the motor out
of the splines of the gear box, the crane boom fell across a tank of liquid nitrogen.
The tank lifting cradle and support took the impact of the boom, and the outer tank,
while bent, was not ruptured.",,,,,,,,,,,,,,,,
HI-20040219-2045,,,2004-02-19,20:45,,HI,,,,,,,,,,INV-7b01af,,,,SUP-b32c8b,District Supervisor,,,,,"Employees responded to an LSH alarm on the filter separator. When employees went to
open up the reboiler to purge it prior to relighting the unit, they noticed smoke
coming from the south end of the vessel. An employee went down some steps and around
to the south end of the unit and spotted a small flame.
flame by using one 20# K fire extinguisher in addition",,,,,,,,,,,,,,,,
EW-826-20040222-1445,,,2004-02-22,14:45,,EW,826,,,,,,,,,INV-40b355,,,,SUP-cb6eab,District Supervisor,,,,,"On February 22, 2004, at approximately 144S hours, one of the platform operators was
performing casing pressure diagnostic test operations when a flash fire occurred.
The",,,,,,,,,,,,,,,,"sequence of events is as follows: The operator was bleeding down the casing
fluids from Well A-9, through a 1/2 inch needle valve, and then into a 3/8 inch
stainless steal line. The fluid then flowed into a plastic SS gallon Department of
Transportation {DOT} Drum. During this bleed off period the operator noticed flames
coming out of the drum. The operator then immediately went to the deluge button and
pulled, however only a trickle of water came out of the nozzles. The operators then
tried to shut off the flow by closing the 1/2 inch needle valve, however the flames
were too intense. Thereafter the operator sounded the general alarm and soon after
he pushed the fire alarm button. Another operator then arrived at the fire location.
This newly arrived operator went to a 3SOlb dry chemical fire boss wheel unit, and
attempted to charge the unit. But was unable to pull the handle, which charges the
unit, he actually broke the handle, pulling on it. Soon after the operators found a
30lb. dry chemical hand held fire extinguisher and used that unit in the fire. The
other operator found a fire hose to help extinguish the fire. Once the fire was out,
one of the operators shut off the 1/2 inch needle valve. Water was later sprayed on
the site so as to cool off the area."
HI-20040223-1400,,,2004-02-23,14:00,,HI,,,,,,,,,,INV-9bbb24,,,,SUP-0ea5df,District Supervisor,,,,,"The compressor failed to start (4-5 times). When the compressor fails to start,
HP gas is vented to flair, LP gas is vented to the low pressure vent line, which is
common to the skimmer tanks installed below the MCC room. Gas migrated from the
skimmer atmosphere along the structure beams and up through the opening in the deck
where the power cables and conduit enter the MCC room from below. The gas detector
alarmed with 20% LFL and the door was opened to ventilate the gas. The gas was
trapped in the electrical panels and the pump relay opened or closed providing spark,
exploding gas and blowing out the doors, panel doors, light fixtures, and building
walls. The employee was blown fifteen feet out of the door.",,,,,,,,,,,,,,,,
