Incident Number,Cause number,xw_human_factor_confidence
GC-478-20240502-1620,1,
GC-478-20240502-1620,2,
GC-478-20240502-1620,3,
GC-478-20240502-1620,4,
EI-259-20120304-1330,1,
EI-259-20120304-1330,2,
EI-259-20120304-1330,3,
EI-259-20120304-1330,4,
EI-259-20120304-1330,5,
LA-6659-1700,1,
LA-6659-1700,2,
LA-6659-1700,3,
LA-6659-1700,4,
LA-6659-1700,5,
LA-6659-1700,6,
LA-6659-1700,7,
UNKEYED-d34a71a29a8c,1,
UNKEYED-d34a71a29a8c,2,
UNKEYED-d34a71a29a8c,3,
UNKEYED-d34a71a29a8c,4,
UNKEYED-d34a71a29a8c,5,
UNKEYED-d34a71a29a8c,6,
UNKEYED-d34a71a29a8c,7,
UNKEYED-d34a71a29a8c,8,
UNKEYED-d34a71a29a8c,9,
UNKEYED-d34a71a29a8c,10,
UNKEYED-d34a71a29a8c,11,
UNKEYED-d34a71a29a8c,12,
UNKEYED-d34a71a29a8c,13,
UNKEYED-d34a71a29a8c,14,
UNKEYED-d34a71a29a8c,15,
UNKEYED-d34a71a29a8c,16,
UNKEYED-d34a71a29a8c,17,
UNKEYED-d34a71a29a8c,18,
UNKEYED-d34a71a29a8c,19,
UNKEYED-d34a71a29a8c,20,
UNKEYED-d34a71a29a8c,21,
UNKEYED-d34a71a29a8c,22,
UNKEYED-d34a71a29a8c,23,
UNKEYED-d34a71a29a8c,24,
UNKEYED-d34a71a29a8c,25,
LB-6488-20030504-0740,1,
LB-6488-20030504-0740,2,
LA-6709-20041104-0735,1,
MI-622-20040121-0314,1,
MI-622-20040121-0314,2,
HI-20040219-2045,1,
HI-20040219-2045,2,
EW-826-20040222-1445,1,
HI-20040223-1400,1,
HI-20040223-1400,2,
SM-149-20040328-0800,1,
SM-149-20040328-0800,2,
ST-260-20040329-0130,1,
HI-47-20040519-0830,1,
HI-47-20040519-0830,2,
WC-237-20041106-0800,1,
WC-237-20041106-0800,2,
WC-237-20041106-0800,3,
WC-237-20041106-0800,4,
WC-237-20041106-0800,5,
WC-237-20041106-0800,6,
EI-327-20041223-1420,1,
EI-327-20041223-1420,2,
EI-32-20041227-0250,1,
EI-32-20041227-0250,2,
LA-6660-20110526-1130,1,
LA-6660-20110526-1130,2,
LB-6437-20110528-0945,1,
WC-280-20050114-1145,1,
WC-280-20050114-1145,2,
SS-92-20050119-0900,1,
SS-209-20050119-1800,1,
SS-209-20050119-1800,2,
WR-508-20050120-2230,1,
WR-508-20050120-2230,2,
ST-308-20050210-0430,1,
ST-308-20050210-0430,2,
MC-772-20050220-1100,1,
MC-772-20050220-1100,2,
MC-772-20050220-1100,3,
MC-772-20050220-1100,4,
EI-261-20050225-1043-efe9d45e,1,
EI-261-20050225-1043-efe9d45e,2,
MC-807-20050228-2330,1,
MC-807-20050228-2330,2,
ST-242-20050308-2015,1,
ST-242-20050308-2015,2,
GC-157-20050311-1510,1,
GC-157-20050311-1510,2,
MC-822-20050315-1500,1,
MC-822-20050315-1500,2,
SP-62-20050317-0400,1,
SP-62-20050317-0400,2,
SP-62-20050317-0400,3,
MC-807-20050318-1115,1,
MC-807-20050318-1115,2,
ST-21-20050323-2300,1,
ST-21-20050323-2300,2,
MC-429-20050330-1400,1,
EI-100-20050403-2130,1,
EI-100-20050403-2130,2,
ST-77-20050405-1800,1,
ST-77-20050405-1800,2,
ST-41-20050411-0355,1,
ST-41-20050411-0355,2,
HI-110-20050502-1332,1,
HI-110-20050502-1332,2,
SP-67-20050506-0945,1,
SP-67-20050506-0945,2,
GC-236-20050516-1200,1,
GC-236-20050516-1200,2,
GC-236-20050519-1245,1,
GC-236-20050519-1245,2,
SM-99-20050526-1045,1,
SM-99-20050526-1045,2,
MU-762-20050529-0830,1,
MU-762-20050529-0830,2,
PL-13-20050610-0930,1,
PL-13-20050610-0930,2,
MU-757-20050618-1700,1,
MU-757-20050618-1700,2,
MU-757-20050618-1700,3,
EC-272-20050618-2315,1,
EC-272-20050618-2315,2,
EC-272-20050618-2315,3,
EC-272-20050618-2315,4,
EC-272-20050618-2315,5,
GC-652-20050623-1915,1,
GC-652-20050623-1915,2,
WD-62-20050624-1100,1,
WD-62-20050624-1100,2,
HI-20050630-1205,1,
MC-778-20050708-1525,1,
MC-778-20050708-1525,2,
HI-20050720-1800,1,
HI-20050720-1800,2,
MU-787-20050721-0001,1,
MU-787-20050721-0001,2,
GC-782-20050722-1500,1,
GC-782-20050722-1500,2,
